"model_time","cost_drugs","cost_items","cost_total","count_deaths"
1,228407611.299,280190136.675,508597747.974,0
2,161241576.578,25985955.589,187227532.167,0
3,109184662.466,19052960.929,128237623.395,0
4,74459431.299,14489818.066,88949249.366,0
5,50830176.729,10955703.657,61785880.386,0
6,3414377.853,8201930.907,11616308.761,0
7,2331145.364,6084749.602,8415894.966,0
8,1591976.96,4478923.246,6070900.206,0
9,1087325.678,3274952.778,4362278.456,0
10,742726.218,2380916.242,3123642.46,0
11,507369.418,1722344.956,2229714.374,0
12,346609.388,1240521.118,1587130.506,0
13,236792.286,890068.596,1126860.882,0
14,161773.203,636457.37,798230.573,0
15,110523.58,453733.931,564257.511,0
16,75511.169,322591.933,398103.101,0
17,51590.747,228792.277,280383.024,0
18,35248.135,161907.102,197155.237,0
19,24082.668,114344.14,138426.808,0
20,16454.143,80604.488,97058.631,0
21,11242.026,56724.255,67966.281,0
22,7680.941,39856.715,47537.656,0
23,5247.861,27964.655,33212.515,0
24,3585.493,19594.763,23180.256,0
25,2449.707,13713.06,16162.768,0
26,1673.696,9585.831,11259.527,0
27,1143.5,6693.61,7837.109,0
28,781.255,4669.357,5450.612,8015.777
