"model_time","cost_drugs","cost_items","cost_total","count_drugs"
1,1501827.16537871,2146534.64495643,3648361.81033514,14135.99996939
2,1106193.82759898,297185.956866545,1403379.78446552,9640.75197912398
3,723048.832075413,178810.437110347,901859.26918576,6574.99284976255
4,488920.631867322,122748.89518242,611669.527049743,4484.14512353806
5,332881.937332377,86133.0054487172,419014.942781094,3058.18697425296
6,22790.5359221311,60394.7330577935,83185.2689799246,2085.68351644052
7,15527.0030968515,42173.0765570227,57700.0796538742,1422.43615821243
8,10583.0529090319,29330.0623027194,39913.1152117513,970.101459900879
9,7213.51148102684,20329.378563199,27542.8900442258,661.609195652399
10,4917.12694040529,14051.5930063109,18968.7199467162,451.217471434936
11,3351.86836087564,9690.71550185054,13042.5838627262,307.730315518627
12,2285.10397976907,6669.82274623433,8954.9267260034,209.872075183703
13,1557.6374397301,4583.27390807996,6140.91134781006,143.132028697895
14,1061.86251376498,3145.26345594539,4207.12596971037,97.6155480487
15,723.882749697123,2156.14699862219,2880.02974831931,66.5734658240624
16,493.527336685289,1476.69978871024,1970.22712539553,45.4028732145875
17,336.463516814781,1010.54479218843,1347.00830900321,30.9646023475441
18,229.387621328847,691.133688395919,920.521309724765,21.1177516015325
19,156.40282303614,472.451374360393,628.854197396532,14.4022334825624
20,106.643568745949,322.836410050533,429.479978796482,9.82227337455696
21,72.7193090723895,220.523516303092,293.242825375482,6.69875643672498
22,49.5863159206332,150.584789262925,200.171105183558,4.56852869874317
23,33.8112642738374,102.794292703473,136.605556977311,3.1157207562907
24,23.0538536985049,70.1548389911776,93.2086926896825,2.12491076916105
25,15.7196147860919,47.8711680396094,63.5907828257013,1.44918178812406
26,10.7189664146632,32.662256043194,43.3812224578572,0.988336962431422
27,7.30952987871088,22.2825541621776,29.5920840408885,0.674042386754414
28,4.98444154415014,15.2009295888721,20.1853711330222,0.459694574230913
