"model_time","cost_drugs","cost_items","cost_total","count_drugs"
1,884206.276825769,8999384.25407187,9883590.53089764,0
2,2338232.86556621,4149740.13748802,6487973.00305423,0
3,2494487.89277129,4647371.07363815,7141858.96640944,0
4,1590480.39829323,3597555.18564426,5188035.58393749,0
5,999719.143848602,2621843.60128118,3621562.74512978,0
6,627850.207220175,1844977.87725476,2472828.08447493,0
7,394153.037863889,1267278.36202276,1661431.39988665,0
8,247384.270878944,855286.290941633,1102670.56182058,0
9,155247.124399344,569625.613672336,724872.73807168,0
10,97443.0008374572,375525.833255317,472968.834092774,0
11,61173.4436325649,245587.022897027,306760.466529592,0
12,38392.1670801482,159555.267449852,197947.43453,0
13,24087.5188220058,103101.309048652,127188.827870658,0
14,15110.6560681539,66326.1663738715,81436.8224420254,0
15,9478.90767198078,42511.1115643243,51990.0192363051,0
16,5946.41762743628,27163.6925534482,33110.1101808845,0
17,3730.15268768543,17311.8055078775,21041.9581955629,0
18,2340.2631863478,11009.2709836418,13349.5341699896,0
19,1468.55748173741,6988.67116150335,8457.22864324076,0
20,921.320082903442,4429.17427058517,5350.49435348862,0
21,578.08117261961,2803.31005965797,3381.39123227758,0
22,362.824916104046,1772.37249561907,2135.19741172311,0
23,227.688463235255,1119.43913247746,1347.12759571272,0
24,142.881208304031,706.437679537787,849.318887841818,0
25,89.6717027303833,445.491856927406,535.16355965779,0
26,56.2837558045678,280.767252286185,337.051008090752,0
27,35.3282926660572,176.858214359823,212.18650702588,0
28,22.1774825274083,111.356927222327,133.534409749736,0
