"model_time","cost_drugs","cost_items","cost_total","count_drugs"
1,1086258.37758346,12696752.0261355,13783010.4037189,0
2,3277253.42950283,5803599.26426189,9080852.69376473,0
3,3595736.12727612,6647894.25888653,10243630.3861626,0
4,2271833.7492358,5128246.59541572,7400080.34465152,0
5,1428464.75417175,3739421.56719457,5167886.32136633,0
6,898061.870047282,2633486.01061926,3531547.88066654,0
7,564530.396706951,1810492.20804935,2375022.6047563,0
8,354889.180277368,1223155.18804662,1578044.36832399,0
9,223063.361459049,815498.102614549,1038561.4640736,0
10,140150.754611455,538109.999128251,678260.753739706,0
11,88045.90971162,352189.898152009,440235.807863629,0
12,55315.4817156993,229010.886888579,284326.368604278,0
13,34746.204464051,148117.018745076,182863.223209127,0
14,21825.7491382733,95377.6160928031,117203.365231076,0
15,13709.9313099539,61193.888151845,74903.8194617988,0
16,8609.25168394521,39138.6812809012,47747.9329648464,0
17,5405.48674322175,24966.5080318989,30371.9947751207,0
18,3394.6239699608,15891.8498296999,19286.4737996607,0
19,2132.25860061144,10097.4241835737,12229.6827841851,0
20,1339.16819706647,6405.51100669131,7744.67920375779,0
21,840.898375228826,4057.74858060803,4898.64695583685,0
22,527.871017856411,2567.27120714527,3095.14222500168,0
23,331.361707954623,1622.55987490086,1953.92158285548,0
24,208.090006004563,1024.67779530621,1232.76780131077,0
25,130.685791366431,646.640179632531,777.325970998961,0
26,82.0586063314766,407.794852599379,489.853458930856,0
27,51.5245199072988,257.023568535676,308.548088442975,0
28,32.3545356939356,161.919770854998,194.274306548934,0
