"model_time","cost_drugs","cost_items","cost_total","count_drugs"
1,4963378.37853173,5949424.00551715,10912802.3840489,46823.00007238
2,3481823.21184825,546822.789597713,4028646.00144596,31933.2860493632
3,2370174.82065152,421752.254779862,2791927.07543138,21778.5010856657
4,1615909.35113049,318314.137267624,1934223.48839812,14852.937740424
5,1102013.94785366,235299.022784629,1337312.97063829,10129.7035389692
6,75357.6804620364,171122.841578093,246480.522040129,6908.45781357696
7,51399.5971501192,122906.869405003,174306.466555122,4711.56822885949
8,35054.9482639355,87428.0376978678,122482.985961803,3213.28953208217
9,23905.8695287987,61720.7988161932,85626.6683449919,2191.46346088004
10,16301.995830627,43314.5014317319,59616.4972623589,1494.57808032019
11,11117.5636656741,30251.9640073515,41369.5276730257,1019.30225077837
12,7581.8220465572,21043.178001982,28625.0000485392,695.164135030847
13,5169.81550994563,14588.7159257614,19758.531435707,474.101940091037
14,3525.00547212403,10085.8920372432,13610.8975093672,323.337523142087
15,2403.34388362561,6957.033328242,9360.37721186761,220.516190782904
16,1638.63155241431,4789.72239530338,6428.35394771768,150.39204211394
17,1117.22431120408,3292.29157402982,4409.5158852339,102.567372721707
18,761.716238642639,2260.11723849433,3021.83347713697,69.9509481962044
19,519.37283037599,1549.89215917444,2069.26498955043,47.7065466698114
20,354.137738492221,1061.76540126219,1415.90313975441,32.5358648288113
21,241.444927723281,726.847363916331,968.292291639612,22.1894598132493
22,164.638259866487,497.268145431124,661.906405297611,15.133211592636
23,112.262793505093,340.005446194061,452.268239699154,10.3208503061778
24,76.5472254758612,232.366376284711,308.913601760572,7.03881990881325
25,52.1948374839449,158.744623826324,210.939461310269,4.80047517781063
26,35.5910456611522,108.415701477515,144.006747138667,3.27392407126685
27,24.2696142368448,74.0232349060875,98.2928491429323,2.23281621660399
28,16.5495510878081,50.5314196001115,67.0809706879196,1.52278065972392
