"model_time","cost_drugs","cost_items","cost_total","count_drugs"
1,6684296.51566522,7790103.26800016,14474399.7836654,63077.999268
2,4655279.83945622,651886.31371578,5307166.15317199,43019.195500776
3,3188188.54967313,535251.713309821,3723440.26298295,29339.0913315292
4,2176232.96052182,411929.142873554,2588162.10339537,20009.2602881029
5,1484511.33260445,307519.918642831,1792031.25124728,13646.3155164862
6,101528.293286216,225133.410849716,326661.704135932,9306.78718224359
7,69266.9759382139,162507.19512341,231774.171061624,6347.22885829013
8,47248.9271495058,116051.773430618,163300.700580124,4328.81008135387
9,32226.6415991619,82188.0346707684,114414.67626993,2952.24847548334
10,21979.2719960351,57826.9589576925,79806.2309537275,2013.43346027964
11,14990.9450763454,40473.732166488,55464.6772428333,1373.16161991071
12,10224.3219860759,28204.1229433485,38428.4449294243,936.496224779105
13,6972.45469431102,19583.406487269,26555.8611815801,638.690425299349
14,4754.65246546763,13557.0958430552,18311.7483085228,435.586870054156
15,3242.09002000877,9362.27474664562,12604.3647666544,297.070245376935
16,2210.72566485103,6452.22311542039,8662.94878027143,202.601907347069
17,1507.4276778689,4439.02994472248,5946.45762259137,138.174500810701
18,1027.85162119133,3049.73498308528,4077.58660427661,94.2350095528983
19,700.887464332546,2092.81679341414,2793.70425774668,64.2682765150766
20,477.936148689896,1434.60245687421,1912.5386055641,43.8309645832823
21,325.87596463863,982.618294138317,1308.49425877695,29.8927178457985
22,222.22164036265,672.577084174447,894.798724537097,20.3868335708346
23,151.53514646655,460.073952047533,611.609098514083,13.9038204953092
24,103.330894844611,314.548232938867,417.879127783478,9.48240557780086
25,70.4611335521897,214.964401503698,285.425535055888,6.46700060406018
26,48.0485629593567,146.857562963787,194.906125923144,4.41049441196905
27,32.7655735812193,100.298663157409,133.064236738629,3.00795718896289
28,22.3437277637949,68.4851292066879,90.8288569704828,2.05142680287269
