"model_time","cost_drugs","cost_items","cost_total","count_drugs"
1,409918.463247813,1254733.52071588,1664651.98396369,3796.99998624
2,403618.84008068,335336.220562255,738955.060642935,2589.55399061568
3,208662.013010367,147609.344877651,356271.357888018,1766.07582159989
4,133409.320717682,84646.1396445609,218055.460362243,1204.46371033113
5,89795.1277278582,52529.9395765842,142325.067304442,821.444250445829
6,6235.1941732999,33322.311017702,39557.5051910019,560.224978804055
7,4221.97928410883,21324.382156633,25546.3614407418,382.073435544366
8,2869.97966199597,13726.813388725,16596.7930507209,260.574083041257
9,1952.61282590651,8882.06321227394,10834.6760381804,177.711524634137
10,1329.02178438576,5775.24448737576,7104.26627176152,121.199259800482
11,904.8022384974,3772.63698870055,4677.43922719795,82.6578951839285
12,616.172529318645,2474.88615889825,3091.0586882169,56.3726845154393
13,419.606072243497,1630.04676846195,2049.65284070544,38.445912752698
14,285.815611089999,1077.57711705459,1363.39272814459,26.2199364833025
15,194.703508145112,714.811607824577,909.51511596969,17.8818766408445
16,132.663987913865,475.635502372544,608.29949028641,12.1953580018019
17,90.3954655331812,317.366239776499,407.76170530968,8.31717832413644
18,61.5993333238113,212.309707744426,273.909041068237,5.67227753914761
19,41.9837433670859,142.360272533084,184.34401590017,3.86846731273603
20,28.6171070840377,95.6569508062029,124.274057890241,2.63827699657235
21,19.508236712616,64.3931626647933,83.9013993774093,1.79929283303673
22,13.2991015915028,43.4157815957252,56.714883187228,1.22710947456368
23,9.06620328800092,29.3118192742602,38.3780225622611,0.836883043669202
24,6.18044937290146,19.8140832846934,25.9945326575948,0.570750404343552
25,4.21351043135833,13.4087418792193,17.6222523105776,0.389249162738553
26,2.87270778021353,9.08328639592207,11.9559941761356,0.265466146917459
27,1.95873594432591,6.15834947805601,8.11708542238192,0.181046696833966
28,1.33553529469358,4.17869479401068,5.51423008870427,0.123473018368257
