"model_time","cost_drugs","cost_items","cost_total","count_drugs"
1,1528657.312199,1852918.59695746,3381575.90915646,14418.9999228
2,1075463.27571332,174883.023185758,1250346.29889908,9833.7579473496
3,729956.302803112,130614.880427117,860571.183230228,6706.62292009243
4,497228.221656622,97206.715688676,594434.937345298,4573.91683150304
5,339001.405955384,71297.7670622047,410299.173017589,3119.41127908507
6,22938.8664803098,51562.2863636746,74501.1528439844,2127.43849233602
7,15634.4361136555,36883.2805714998,52517.7166851554,1450.91305177316
8,10661.1189879277,26163.7745355995,36824.8935235272,989.522701309298
9,7271.55487743481,18430.1537069607,25701.7085843955,674.854482292941
10,4958.46006869647,12903.3826066363,17861.8426753327,460.250756923786
11,3379.65166884247,8993.52315535496,12373.1748241974,313.891016222022
12,2304.30900253014,6246.1239736483,8550.43297617844,214.073673063419
13,1571.15409759787,4324.16474097233,5895.3188385702,145.998245029252
14,1071.0816805352,2986.62478204195,4057.70646257714,99.5708031099497
15,730.399682646746,2058.54914623419,2788.94882888094,67.9072877209857
16,498.002999173695,1415.88201316008,1913.88501233377,46.3127702257122
17,339.436104053325,972.321319859129,1311.75742391245,31.5853092939357
18,231.389458058219,667.071069491505,898.460527549724,21.5411809384642
19,157.785745218224,457.319029147237,615.104774365461,14.6910854000326
20,107.612907077942,313.219378371065,420.832285449008,10.0193202428222
21,73.3739170499266,214.34143286852,287.715349918447,6.83317640560474
22,50.026093598056,146.529190100309,196.555283698365,4.66022630862243
23,34.0945928354064,100.12283234661,134.217425182016,3.1782743424805
24,23.2452577189882,68.4072498411174,91.6525075601055,2.1675831015717
25,15.8529150203669,46.7248405620452,62.5777555824121,1.4782916752719
26,10.8104032270871,31.9013880366324,42.7117912637195,1.00819492253544
27,7.37085621610852,21.7757145857407,29.1465708018492,0.687588937169167
28,5.02620260096608,14.8615573763341,19.8877599773002,0.468935655149372
