"model_time","cost_drugs","cost_items","cost_total","count_deaths"
1,2040777.16750486,2397158.30022706,4437935.46773192,0
2,1425635.62964536,188137.437500521,1613773.06714588,0
3,972556.7827457,148983.911203646,1121540.69394935,0
4,664065.624504989,116009.743077072,780075.367582061,0
5,453482.741843253,88791.0054211914,542273.747264444,0
6,29885.1380718506,67018.0702773959,96903.2083492465,0
7,20428.5854177747,50021.3019923516,70449.8874101263,0
8,13964.0415068516,36995.3652109498,50959.4067178013,0
9,9544.9294983005,27154.2295762879,36699.1590745884,0
10,6524.13865139034,19803.3789570103,26327.5176084006,0
11,4459.25967724802,14363.3563307996,18822.6160080476,0
12,3047.83705456801,10368.3477711039,13416.1848256719,0
13,2083.10133520232,7453.52393176988,9536.6252669722,0
14,1423.70164021872,5338.59988890313,6762.30152912185,0
15,973.011036173318,3811.41187293996,4784.42290911328,0
16,664.977559714843,2713.23834791584,3378.21590763068,0
17,454.450828822396,1926.46729646607,2380.91812528847,0
18,310.56873478253,1364.6355617002,1675.20429648273,0
19,212.236326096251,964.601178614702,1176.83750471095,0
20,145.035088152683,680.514324195571,825.549412348254,0
21,99.1101293873164,479.244494011563,578.354623398879,0
22,67.7259040683262,336.954068425845,404.679972494171,0
23,46.2789603412618,236.556013690734,282.834974031996,0
24,31.6231110233123,165.842853521682,197.465964544995,0
25,21.6081707718037,116.119037314478,137.727208086282,0
26,14.7646792472079,81.2070615369411,95.9717407841489,0
27,10.0884121829513,56.7288114479803,66.8172236309317,0
28,6.89310014402372,39.5881703987044,46.4812705427281,68.6852044228931
