"model_time","cost_drugs","cost_items","cost_total","count_deaths"
1,1362237.95566194,15243062.8679223,16605300.8235842,0
2,4060015.17647396,7246410.66603011,11306425.8425041,0
3,4397743.21005373,8219879.59376045,12617622.8038142,0
4,2757924.69919932,6518464.75403361,9276389.45323293,0
5,1729712.02857605,4970357.55302773,6700069.58160377,0
6,1084938.92093777,3688184.0908255,4773123.01176327,0
7,680578.311208742,2682637.3395448,3363215.65075354,0
8,426966.235353017,1921649.88269678,2348616.11804979,0
9,267887.767320426,1360027.11767591,1627914.88499633,0
10,168096.046217128,953196.720055648,1121292.76627278,0
11,105489.383300138,662704.754070664,768194.137370801,0
12,66207.6315830453,457640.173690777,523847.805273823,0
13,41558.2098421793,314220.045508356,355778.255350535,0
14,26088.9475169813,214683.183549908,240772.131066889,0
15,16379.8052404788,146048.817571237,162428.622811715,0
16,10285.2507752959,98983.8722946681,109269.123069964,0
17,6459.16791166039,66863.3805304107,73322.5484420711,0
18,4056.91018591636,45032.9028335047,49089.813019421,0
19,2548.43148763089,30249.9681783195,32798.3996659504,0
20,1601.07226188873,20271.6506334376,21872.7228953263,0
21,1006.03012768903,13555.708732756,14561.738860445,0
22,632.229608596384,9047.12750431611,9679.3571129125,0
23,397.378350234818,6027.39953104904,6424.77788128386,0
24,249.804849359737,4009.09389607568,4258.89874543541,0
25,157.060366999798,2662.67316686213,2819.73353386193,0
26,98.7650404815243,1766.02429662902,1864.78933711054,0
27,62.117306796966,1169.84629217859,1231.96359897555,0
28,39.0747838693637,774.025949492422,813.100733361785,2552.56543893726
