"model_time","cost_drugs","cost_items","cost_total","count_drugs"
1,1989.759023973,54149.576623856,56139.335647829,0
2,5868.54565217796,21980.3664052729,27848.9120574509,0
3,3013.85669204405,13151.1478028122,16165.0044948562,0
4,1757.61856122257,7976.19943272313,9733.8179939457,0
5,1070.87568554338,4926.88288519296,5997.75857073634,0
6,669.511177507578,3053.10064330363,3722.61182081121,0
7,413.736338222555,1899.97776314563,2313.71410136818,0
8,259.283781453879,1183.59090920971,1442.87469066359,0
9,161.15309846422,739.120164390046,900.273262854265,0
10,101.108797396182,463.417047862009,564.525845258191,0
11,63.4753821136536,289.920840225328,353.396222338981,0
12,39.6086685023076,180.968092712986,220.576761215293,0
13,24.7182133638921,113.257146066662,137.975359430554,0
14,15.5157852841183,71.0574020185379,86.5731873026563,0
15,9.74248991953185,44.5442860832163,54.2867760027482,0
16,6.10140061072425,27.9356831807698,34.037083791494,0
17,3.8305447258321,17.5124864985903,21.3430312244224,0
18,2.39889113140737,10.9682017137005,13.3670928451079,0
19,1.50232820814999,6.87763069108815,8.37995889923815,0
20,0.943297422959571,4.31738294166279,5.26068036462236,0
21,0.592382912564714,2.71093307974394,3.30331599230865,0
22,0.372015791109254,1.70237867641448,2.07439446752374,0
23,0.233625803573253,1.06907376374634,1.3026995673196,0
24,0.146716980208275,0.671373714533606,0.818090694741881,0
25,0.0921382580113138,0.421621632681856,0.51375989069317,0
26,0.0578628247547147,0.264778141515592,0.322640966270307,0
27,0.0363378536524774,0.166280616795878,0.202618470448356,0
28,0.0228201720262579,0.104424214450354,0.127244386476612,0
