"cost_drugs","cost_items","cost_total","count_deaths",".n_indiv",".strategy_names",".par_names",".par_value",".par_value_eval",".cost",".effect"
5465730.49033786,3563558.97374445,9029289.46408231,211.473047548607,43531,"strategy","rrr_pxlvd","0.7213",0.7213,9029289.46408231,211.473047548607
5480173.00131293,3891633.20408667,9371806.2053996,48.2858771593464,43531,"strategy","rrr_pxlvd","0.9556",0.9556,9371806.2053996,48.2858771593464
5475695.02906627,3767652.60059004,9243347.62965631,106.809486894294,43531,"strategy","rrr_rmsvr","0.4141",0.4141,9243347.62965631,106.809486894294
5475695.02906627,3767652.60059004,9243347.62965631,106.809486894294,43531,"strategy","rrr_rmsvr","0.9688",0.9688,9243347.62965631,106.809486894294
2794305.45119812,3767652.60059004,6561958.05178816,106.809486894294,43531,"strategy","cost_A_pxlvd_drugs","51.6",51.6,6561958.05178816,106.809486894294
13218500.7700407,3767652.60059004,16986153.3706307,106.809486894294,43531,"strategy","cost_A_pxlvd_drugs","262.6",262.6,16986153.3706307,106.809486894294
5478812.44215993,3617329.11370372,9096141.55586366,97.222240622363,43531,"strategy","prob_AH_pxlvd","0.75 * general_params$prob_AH_pxlvd",0.00537975,9096141.55586366,97.222240622363
5472497.08881734,3916287.42735551,9388784.51617285,116.289148041602,43531,"strategy","prob_AH_pxlvd","1.25 * general_params$prob_AH_pxlvd",0.00896625,9388784.51617285,116.289148041602
5475695.02906627,3767652.60059004,9243347.62965631,106.809486894294,43531,"strategy","prob_AH_syntc","0.75 * general_params$prob_AH_syntc",0.048387,9243347.62965631,106.809486894294
5475695.02906627,3767652.60059004,9243347.62965631,106.809486894294,43531,"strategy","prob_AH_syntc","1.25 * general_params$prob_AH_syntc",0.080645,9243347.62965631,106.809486894294
