"cost_drugs","cost_items","cost_total","count_deaths",".n_indiv",".strategy_names",".par_names",".par_value",".par_value_eval",".cost",".effect"
3312071.25121803,2845360.29107785,6157431.54229588,214.790925356471,28008,"strategy","rrr_pxlvd","0.7213",0.7213,6157431.54229588,214.790925356471
3325638.59898277,3187336.0859468,6512974.68492957,49.4408228418606,28008,"strategy","rrr_pxlvd","0.9556",0.9556,6512974.68492957,49.4408228418606
3321446.51745591,3057736.70594693,6379183.22340284,109.040826275782,28008,"strategy","rrr_rmsvr","0.4141",0.4141,6379183.22340284,109.040826275782
3321446.51745591,3057736.70594693,6379183.22340284,109.040826275782,28008,"strategy","rrr_rmsvr","0.9688",0.9688,6379183.22340284,109.040826275782
1738022.75832276,3057736.70594693,4795759.46426969,109.040826275782,28008,"strategy","cost_A_pxlvd_drugs","51.6",51.6,4795759.46426969,109.040826275782
7893755.84311492,3057736.70594693,10951492.5490618,109.040826275782,28008,"strategy","cost_A_pxlvd_drugs","262.6",262.6,10951492.5490618,109.040826275782
3323231.02311231,2968552.01852646,6291783.04163877,103.710419610017,28008,"strategy","prob_AH_pxlvd","0.75 * general_params$prob_AH_pxlvd",0.00537975,6291783.04163877,103.710419610017
3319613.826202,3145919.55138902,6465533.37759102,114.311423703364,28008,"strategy","prob_AH_pxlvd","1.25 * general_params$prob_AH_pxlvd",0.00896625,6465533.37759102,114.311423703364
3321446.51745591,3057736.70594693,6379183.22340284,109.040826275782,28008,"strategy","prob_AH_syntc","0.75 * general_params$prob_AH_syntc",0.048387,6379183.22340284,109.040826275782
3321446.51745591,3057736.70594693,6379183.22340284,109.040826275782,28008,"strategy","prob_AH_syntc","1.25 * general_params$prob_AH_syntc",0.080645,6379183.22340284,109.040826275782
