"cost_drugs","cost_items","cost_total","count_deaths",".n_indiv",".strategy_names",".par_names",".par_value",".par_value_eval",".cost",".effect"
8951820.44220255,4945287.63168481,13897108.0738874,162.910132005574,68392,"strategy","rrr_pxlvd","0.7213",0.7213,13897108.0738874,162.910132005574
8959620.54193783,5224315.50910891,14183936.0510467,38.6137227194846,68392,"strategy","rrr_pxlvd","0.9556",0.9556,14183936.0510467,38.6137227194846
8957205.08943477,5117644.19153386,14074849.2809686,84.3392348379445,68392,"strategy","rrr_rmsvr","0.4141",0.4141,14074849.2809686,84.3392348379445
8957205.08943477,5117644.19153386,14074849.2809686,84.3392348379445,68392,"strategy","rrr_rmsvr","0.9688",0.9688,14074849.2809686,84.3392348379445
4513249.57868392,5117644.19153386,9630893.77021779,84.3392348379445,68392,"strategy","cost_A_pxlvd_drugs","51.6",51.6,9630893.77021779,84.3392348379445
21789612.7803132,5117644.19153386,26907256.9718471,84.3392348379445,68392,"strategy","cost_A_pxlvd_drugs","262.6",262.6,26907256.9718471,84.3392348379445
8961867.07184641,4864790.40518691,13826657.4770333,71.4053045220046,68392,"strategy","prob_AH_pxlvd","0.75 * general_params$prob_AH_pxlvd",0.00537975,13826657.4770333,71.4053045220046
8952403.97763132,5367657.57094093,14320061.5485723,97.1280803820339,68392,"strategy","prob_AH_pxlvd","1.25 * general_params$prob_AH_pxlvd",0.00896625,14320061.5485723,97.1280803820339
8957205.08943477,5117644.19153386,14074849.2809686,84.3392348379445,68392,"strategy","prob_AH_syntc","0.75 * general_params$prob_AH_syntc",0.048387,14074849.2809686,84.3392348379445
8957205.08943477,5117644.19153386,14074849.2809686,84.3392348379445,68392,"strategy","prob_AH_syntc","1.25 * general_params$prob_AH_syntc",0.080645,14074849.2809686,84.3392348379445
