"cost_drugs","cost_items","cost_total","count_drugs",".n_indiv",".strategy_names",".par_names",".par_value",".par_value_eval",".cost",".effect"
37304.7110347921,261585.405904223,298890.116939015,0,1204,"strategy","rrr_pxlvd","0.7213",0.7213,298890.116939015,0
37304.7110347921,261585.405904223,298890.116939015,0,1204,"strategy","rrr_pxlvd","0.9556",0.9556,298890.116939015,0
37304.7110347921,261585.405904223,298890.116939015,0,1204,"strategy","rrr_rmsvr","0.4141",0.4141,298890.116939015,0
37304.7110347921,261585.405904223,298890.116939015,0,1204,"strategy","rrr_rmsvr","0.9688",0.9688,298890.116939015,0
37304.7110347921,261585.405904223,298890.116939015,0,1204,"strategy","cost_A_pxlvd_drugs","51.6",51.6,298890.116939015,0
37304.7110347921,261585.405904223,298890.116939015,0,1204,"strategy","cost_A_pxlvd_drugs","262.6",262.6,298890.116939015,0
37304.7110347921,261585.405904223,298890.116939015,0,1204,"strategy","prob_AH_pxlvd","0.75 * general_params$prob_AH_pxlvd",0.00537975,298890.116939015,0
37304.7110347921,261585.405904223,298890.116939015,0,1204,"strategy","prob_AH_pxlvd","1.25 * general_params$prob_AH_pxlvd",0.00896625,298890.116939015,0
35498.4314396859,245548.961877763,281047.393317448,0,1204,"strategy","prob_AH_syntc","0.75 * general_params$prob_AH_syntc",0.048387,281047.393317448,0
38966.3778309359,276322.380757097,315288.758588032,0,1204,"strategy","prob_AH_syntc","1.25 * general_params$prob_AH_syntc",0.080645,315288.758588032,0
