"cost_drugs","cost_items","cost_total","count_deaths",".n_indiv",".strategy_names",".par_names",".par_value",".par_value_eval",".cost",".effect"
9230885.32429337,5464937.36240323,14695822.6866966,245.738121118332,73752,"strategy","rrr_pxlvd","0.7213",0.7213,14695822.6866966,245.738121118332
9245788.88673951,5861284.84513004,15107073.7318696,56.8151633847688,73752,"strategy","rrr_pxlvd","0.9556",0.9556,15107073.7318696,56.8151633847688
9241186.62573263,5710934.67044829,14952121.2961809,125.121414566994,73752,"strategy","rrr_rmsvr","0.4141",0.4141,14952121.2961809,125.121414566994
9241186.62573263,5710934.67044829,14952121.2961809,125.121414566994,73752,"strategy","rrr_rmsvr","0.9688",0.9688,14952121.2961809,125.121414566994
4680114.02055536,5710934.67044829,10391048.6910037,125.121414566994,73752,"strategy","cost_A_pxlvd_drugs","51.6",51.6,10391048.6910037,125.121414566994
22411782.7389783,5710934.67044829,28122717.4094266,125.121414566994,73752,"strategy","cost_A_pxlvd_drugs","262.6",262.6,28122717.4094266,125.121414566994
9246261.49284709,5453553.84527295,14699815.33812,110.148058729274,73752,"strategy","prob_AH_pxlvd","0.75 * general_params$prob_AH_pxlvd",0.00537975,14699815.33812,110.148058729274
9235972.22083917,5965424.2185797,15201396.4394189,139.926769249921,73752,"strategy","prob_AH_pxlvd","1.25 * general_params$prob_AH_pxlvd",0.00896625,15201396.4394189,139.926769249921
9241186.62573263,5710934.67044829,14952121.2961809,125.121414566994,73752,"strategy","prob_AH_syntc","0.75 * general_params$prob_AH_syntc",0.048387,14952121.2961809,125.121414566994
9241186.62573263,5710934.67044829,14952121.2961809,125.121414566994,73752,"strategy","prob_AH_syntc","1.25 * general_params$prob_AH_syntc",0.080645,14952121.2961809,125.121414566994
