"cost_drugs","cost_items","cost_total","count_deaths",".n_indiv",".strategy_names",".par_names",".par_value",".par_value_eval",".cost",".effect"
5019612.54459889,2771827.84309314,7791440.38769203,120.959142608127,38930,"strategy","rrr_pxlvd","0.7213",0.7213,7791440.38769203,120.959142608127
5028015.63257573,2958252.95116852,7986268.58374425,27.5677194383627,38930,"strategy","rrr_pxlvd","0.9556",0.9556,7986268.58374425,27.5677194383627
5025407.73634718,2887858.05349184,7913265.78983902,61.0249324405625,38930,"strategy","rrr_rmsvr","0.4141",0.4141,7913265.78983902,61.0249324405625
5025407.73634718,2887858.05349184,7913265.78983902,61.0249324405625,38930,"strategy","rrr_rmsvr","0.9688",0.9688,7913265.78983902,61.0249324405625
2532829.8632383,2887858.05349184,5420687.91673014,61.0249324405625,38930,"strategy","cost_A_pxlvd_drugs","51.6",51.6,5420687.91673014,61.0249324405625
12222999.0244723,2887858.05349184,15110857.0779641,61.0249324405625,38930,"strategy","cost_A_pxlvd_drugs","262.6",262.6,15110857.0779641,61.0249324405625
5028327.50260972,2748280.79859425,7776608.30120397,51.9847060277441,38930,"strategy","prob_AH_pxlvd","0.75 * general_params$prob_AH_pxlvd",0.00537975,7776608.30120397,51.9847060277441
5022413.35897592,3025867.36496079,8048280.72393671,69.9637097934044,38930,"strategy","prob_AH_pxlvd","1.25 * general_params$prob_AH_pxlvd",0.00896625,8048280.72393671,69.9637097934044
5025407.73634718,2887858.05349184,7913265.78983902,61.0249324405625,38930,"strategy","prob_AH_syntc","0.75 * general_params$prob_AH_syntc",0.048387,7913265.78983902,61.0249324405625
5025407.73634718,2887858.05349184,7913265.78983902,61.0249324405625,38930,"strategy","prob_AH_syntc","1.25 * general_params$prob_AH_syntc",0.080645,7913265.78983902,61.0249324405625
