"cost_drugs","cost_items","cost_total","count_drugs",".n_indiv",".strategy_names",".par_names",".par_value",".par_value_eval",".cost",".effect"
3645303.21742347,2009366.26819582,5654669.48561929,39158.5830195472,27616,"strategy","rrr_pxlvd","0.7213",0.7213,5654669.48561929,39158.5830195472
3648317.73346536,2121084.11191185,5769401.84537721,39158.5830195472,27616,"strategy","rrr_pxlvd","0.9556",0.9556,5769401.84537721,39158.5830195472
3647376.02236908,2078283.65449568,5725659.67686476,39158.5830195472,27616,"strategy","rrr_rmsvr","0.4141",0.4141,5725659.67686476,39158.5830195472
3647376.02236908,2078283.65449568,5725659.67686476,39158.5830195472,27616,"strategy","rrr_rmsvr","0.9688",0.9688,5725659.67686476,39158.5830195472
1837488.49863054,2078283.65449568,3915772.15312622,39158.5830195472,27616,"strategy","cost_A_pxlvd_drugs","51.6",51.6,3915772.15312622,39158.5830195472
8873624.2426901,2078283.65449568,10951907.8971858,39158.5830195472,27616,"strategy","cost_A_pxlvd_drugs","262.6",262.6,10951907.8971858,39158.5830195472
3649318.03823875,1975623.11785921,5624941.15609796,39381.1699555502,27616,"strategy","prob_AH_pxlvd","0.75 * general_params$prob_AH_pxlvd",0.00537975,5624941.15609796,39381.1699555502
3645378.47678143,2179795.71501704,5825174.19179846,38938.4942209042,27616,"strategy","prob_AH_pxlvd","1.25 * general_params$prob_AH_pxlvd",0.00896625,5825174.19179846,38938.4942209042
3647376.02236908,2078283.65449568,5725659.67686476,39158.5830195472,27616,"strategy","prob_AH_syntc","0.75 * general_params$prob_AH_syntc",0.048387,5725659.67686476,39158.5830195472
3647376.02236908,2078283.65449568,5725659.67686476,39158.5830195472,27616,"strategy","prob_AH_syntc","1.25 * general_params$prob_AH_syntc",0.080645,5725659.67686476,39158.5830195472
