"cost_drugs","cost_items","cost_total","count_deaths",".n_indiv",".strategy_names",".par_names",".par_value",".par_value_eval",".cost",".effect"
5878965.49501225,4003627.7924019,9882593.28741414,238.927375286978,55600,"strategy","rrr_pxlvd","0.7213",0.7213,9882593.28741414,238.927375286978
5894347.92863951,4381420.35433756,10275768.2829771,54.8706969065827,55600,"strategy","rrr_pxlvd","0.9556",0.9556,10275768.2829771,54.8706969065827
5889593.60142012,4238356.14282869,10127949.7442488,121.115665825182,55600,"strategy","rrr_rmsvr","0.4141",0.4141,10127949.7442488,121.115665825182
5889593.60142012,4238356.14282869,10127949.7442488,121.115665825182,55600,"strategy","rrr_rmsvr","0.9688",0.9688,10127949.7442488,121.115665825182
3015970.49004449,4238356.14282869,7254326.63287317,121.115665825182,55600,"strategy","cost_A_pxlvd_drugs","51.6",51.6,7254326.63287317,121.115665825182
14187494.7000907,4238356.14282869,18425850.8429194,121.115665825182,55600,"strategy","cost_A_pxlvd_drugs","262.6",262.6,18425850.8429194,121.115665825182
5892852.66067687,4076653.45137168,9969506.11204855,111.321881945876,55600,"strategy","prob_AH_pxlvd","0.75 * general_params$prob_AH_pxlvd",0.00537975,9969506.11204855,111.321881945876
5886247.32463914,4398242.37237224,10284489.6970114,130.799557263551,55600,"strategy","prob_AH_pxlvd","1.25 * general_params$prob_AH_pxlvd",0.00896625,10284489.6970114,130.799557263551
5889593.60142012,4238356.14282869,10127949.7442488,121.115665825182,55600,"strategy","prob_AH_syntc","0.75 * general_params$prob_AH_syntc",0.048387,10127949.7442488,121.115665825182
5889593.60142012,4238356.14282869,10127949.7442488,121.115665825182,55600,"strategy","prob_AH_syntc","1.25 * general_params$prob_AH_syntc",0.080645,10127949.7442488,121.115665825182
