"cost_drugs","cost_items","cost_total","count_deaths",".n_indiv",".strategy_names",".par_names",".par_value",".par_value_eval",".cost",".effect"
622446.81508534,1251218.55124344,1873665.36632878,158.71561839049,6086,"strategy","rrr_pxlvd","0.7213",0.7213,1873665.36632878,158.71561839049
633775.677168769,1493453.52024265,2127229.19741141,36.0880392051411,6086,"strategy","rrr_pxlvd","0.9556",0.9556,2127229.19741141,36.0880392051411
630253.335152615,1401994.07702121,2032247.41217383,79.9487687436816,6086,"strategy","rrr_rmsvr","0.4141",0.4141,2032247.41217383,79.9487687436816
630253.335152615,1401994.07702121,2032247.41217383,79.9487687436816,6086,"strategy","rrr_rmsvr","0.9688",0.9688,2032247.41217383,79.9487687436816
375373.3684793,1401994.07702121,1777367.44550051,79.9487687436816,6086,"strategy","cost_A_pxlvd_drugs","51.6",51.6,1777367.44550051,79.9487687436816
1366247.12192139,1401994.07702121,2768241.1989426,79.9487687436816,6086,"strategy","cost_A_pxlvd_drugs","262.6",262.6,2768241.1989426,79.9487687436816
630555.617199194,1387749.01910913,2018304.63630833,79.0027393598656,6086,"strategy","prob_AH_pxlvd","0.75 * general_params$prob_AH_pxlvd",0.00537975,2018304.63630833,79.0027393598656
629943.465759945,1416079.11521118,2046022.58097113,80.8841815857853,6086,"strategy","prob_AH_pxlvd","1.25 * general_params$prob_AH_pxlvd",0.00896625,2046022.58097113,80.8841815857853
630253.335152615,1401994.07702121,2032247.41217383,79.9487687436816,6086,"strategy","prob_AH_syntc","0.75 * general_params$prob_AH_syntc",0.048387,2032247.41217383,79.9487687436816
630253.335152615,1401994.07702121,2032247.41217383,79.9487687436816,6086,"strategy","prob_AH_syntc","1.25 * general_params$prob_AH_syntc",0.080645,2032247.41217383,79.9487687436816
