"cost_drugs","cost_items","cost_total","count_drugs",".n_indiv",".strategy_names",".par_names",".par_value",".par_value_eval",".cost",".effect"
5076067.19527036,3788772.28752583,8864839.48279619,53207.2953861397,42893,"strategy","rrr_pxlvd","0.7213",0.7213,8864839.48279619,53207.2953861397
5079238.17760585,4091903.20830912,9171141.38591496,53207.3105868192,42893,"strategy","rrr_pxlvd","0.9556",0.9556,9171141.38591496,53207.3105868192
5078162.94532596,3973749.36258622,9051912.30791218,53207.3062529791,42893,"strategy","rrr_rmsvr","0.4141",0.4141,9051912.30791218,53207.3062529791
5078162.94532596,3973749.36258622,9051912.30791218,53207.3062529791,42893,"strategy","rrr_rmsvr","0.9688",0.9688,9051912.30791218,53207.3062529791
2618951.05892395,3973749.36258622,6592700.42151017,53207.3062529791,42893,"strategy","cost_A_pxlvd_drugs","51.6",51.6,6592700.42151017,53207.3062529791
12179406.2967098,3973749.36258622,16153155.659296,53207.3062529791,42893,"strategy","cost_A_pxlvd_drugs","262.6",262.6,16153155.659296,53207.3062529791
5080571.05448975,3832558.65993137,8913129.71442111,53509.7493071596,42893,"strategy","prob_AH_pxlvd","0.75 * general_params$prob_AH_pxlvd",0.00537975,8913129.71442111,53509.7493071596
5075676.6617973,4113359.51512892,9189036.17692622,52908.2575693492,42893,"strategy","prob_AH_pxlvd","1.25 * general_params$prob_AH_pxlvd",0.00896625,9189036.17692622,52908.2575693492
5078162.94532596,3973749.36258622,9051912.30791218,53207.3062529791,42893,"strategy","prob_AH_syntc","0.75 * general_params$prob_AH_syntc",0.048387,9051912.30791218,53207.3062529791
5078162.94532596,3973749.36258622,9051912.30791218,53207.3062529791,42893,"strategy","prob_AH_syntc","1.25 * general_params$prob_AH_syntc",0.080645,9051912.30791218,53207.3062529791
