"cost_drugs","cost_items","cost_total","count_drugs",".n_indiv",".strategy_names",".par_names",".par_value",".par_value_eval",".cost",".effect"
40201.0663592457,283920.99506693,324122.061426176,0,1037,"strategy","rrr_pxlvd","0.7213",0.7213,324122.061426176,0
40201.0663592457,283920.99506693,324122.061426176,0,1037,"strategy","rrr_pxlvd","0.9556",0.9556,324122.061426176,0
40201.0663592457,283920.99506693,324122.061426176,0,1037,"strategy","rrr_rmsvr","0.4141",0.4141,324122.061426176,0
40201.0663592457,283920.99506693,324122.061426176,0,1037,"strategy","rrr_rmsvr","0.9688",0.9688,324122.061426176,0
40201.0663592457,283920.99506693,324122.061426176,0,1037,"strategy","cost_A_pxlvd_drugs","51.6",51.6,324122.061426176,0
40201.0663592457,283920.99506693,324122.061426176,0,1037,"strategy","cost_A_pxlvd_drugs","262.6",262.6,324122.061426176,0
40201.0663592457,283920.99506693,324122.061426176,0,1037,"strategy","prob_AH_pxlvd","0.75 * general_params$prob_AH_pxlvd",0.00537975,324122.061426176,0
40201.0663592457,283920.99506693,324122.061426176,0,1037,"strategy","prob_AH_pxlvd","1.25 * general_params$prob_AH_pxlvd",0.00896625,324122.061426176,0
38743.1093626459,271155.909032371,309899.018395017,0,1037,"strategy","prob_AH_syntc","0.75 * general_params$prob_AH_syntc",0.048387,309899.018395017,0
41544.2500386484,295662.599661544,337206.849700192,0,1037,"strategy","prob_AH_syntc","1.25 * general_params$prob_AH_syntc",0.080645,337206.849700192,0
