"model_time","cost_drugs","cost_items","cost_total","count_drugs"
1,5234.10505849412,189288.157733729,194522.262792223,0
2,23719.2785120655,82397.4161560686,106116.694668134,0
3,10316.2716886959,43928.2634570049,54244.5351457008,0
4,5367.29384552307,24441.6581993154,29808.9520448384,0
5,3075.78787937334,14202.9751554334,17278.7630348067,0
6,1839.19574641363,8412.89667839443,10252.0924248081,0
7,1099.6662320463,5058.81720648522,6158.48343853152,0
8,671.724536660475,3080.84056754454,3752.56510420501,0
9,412.083061017423,1888.74157000686,2300.82463102428,0
10,253.958320517596,1160.76922949119,1414.72755000879,0
11,156.311737943524,715.493414734961,871.805152678485,0
12,96.7014771240855,441.681859632767,538.383336756853,0
13,59.7369149564694,273.307287354059,333.044202310528,0
14,37.080302647811,169.300200189858,206.380502837669,0
15,22.9789978363637,105.241547965963,128.220545802327,0
16,14.3449563820191,65.5844833903506,79.9294397723697,0
17,8.94514334635558,40.8589810523287,49.8041243986843,0
18,5.57338044735392,25.473695171462,31.047075618816,0
19,3.47882770759992,15.8874762089285,19.3663039165284,0
20,2.16999548745958,9.91216729724185,12.0821627847014,0
21,1.35499101722284,6.19553839529256,7.5505294125154,0
22,0.848440886634168,3.8792690394185,4.72770992605266,0
23,0.531776263154805,2.42954568030639,2.96132194346119,0
24,0.333003725437643,1.51993866790573,1.85294239334338,0
25,0.208158761867931,0.949744433965815,1.15790319583375,0
26,0.130000619306195,0.592890270228042,0.722890889534236,0
27,0.0811330478858515,0.370632087490153,0.451765135376005,0
28,0.050812611675732,0.232009438258748,0.28282204993448,0
