"cost_drugs","cost_items","cost_total","count_deaths",".n_indiv",".strategy_names",".par_names",".par_value",".par_value_eval",".cost",".effect"
14413722.0776842,45990538.7236917,60404260.8013759,2216.01619130459,294040,"strategy","rrr_pxlvd","0.7213",0.7213,60404260.8013759,2216.01619130459
14413722.0776842,45990538.7236917,60404260.8013759,2216.01619130459,294040,"strategy","rrr_pxlvd","0.9556",0.9556,60404260.8013759,2216.01619130459
14377823.1484508,39130930.5893932,53508753.737844,5128.51805001879,294040,"strategy","rrr_rmsvr","0.4141",0.4141,53508753.737844,5128.51805001879
14434560.2477041,49972319.8972473,64406880.1449514,649.589594347312,294040,"strategy","rrr_rmsvr","0.9688",0.9688,64406880.1449514,649.589594347312
14413722.0776842,45990538.7236917,60404260.8013759,2216.01619130459,294040,"strategy","cost_A_pxlvd_drugs","51.6",51.6,60404260.8013759,2216.01619130459
14413722.0776842,45990538.7236917,60404260.8013759,2216.01619130459,294040,"strategy","cost_A_pxlvd_drugs","262.6",262.6,60404260.8013759,2216.01619130459
14413722.0776842,45990538.7236917,60404260.8013759,2216.01619130459,294040,"strategy","prob_AH_pxlvd","0.75 * general_params$prob_AH_pxlvd",0.00537975,60404260.8013759,2216.01619130459
14413722.0776842,45990538.7236917,60404260.8013759,2216.01619130459,294040,"strategy","prob_AH_pxlvd","1.25 * general_params$prob_AH_pxlvd",0.00896625,60404260.8013759,2216.01619130459
11977867.6631929,38916913.1236589,50894780.7868518,1751.75457364435,294040,"strategy","prob_AH_syntc","0.75 * general_params$prob_AH_syntc",0.048387,50894780.7868518,1751.75457364435
16648426.4339164,52480077.8760322,69128504.3099485,2641.9490663078,294040,"strategy","prob_AH_syntc","1.25 * general_params$prob_AH_syntc",0.080645,69128504.3099485,2641.9490663078
