"cost_drugs","cost_items","cost_total","count_deaths",".n_indiv",".strategy_names",".par_names",".par_value",".par_value_eval",".cost",".effect"
31848.3656922492,224094.488105265,255942.853797514,40.3858100302132,532,"strategy","rrr_pxlvd","0.7213",0.7213,255942.853797514,40.3858100302132
31848.3656922492,224094.488105265,255942.853797514,40.3858100302132,532,"strategy","rrr_pxlvd","0.9556",0.9556,255942.853797514,40.3858100302132
31848.3656922492,224094.488105265,255942.853797514,40.3858100302132,532,"strategy","rrr_rmsvr","0.4141",0.4141,255942.853797514,40.3858100302132
31848.3656922492,224094.488105265,255942.853797514,40.3858100302132,532,"strategy","rrr_rmsvr","0.9688",0.9688,255942.853797514,40.3858100302132
31848.3656922492,224094.488105265,255942.853797514,40.3858100302132,532,"strategy","cost_A_pxlvd_drugs","51.6",51.6,255942.853797514,40.3858100302132
31848.3656922492,224094.488105265,255942.853797514,40.3858100302132,532,"strategy","cost_A_pxlvd_drugs","262.6",262.6,255942.853797514,40.3858100302132
31848.3656922492,224094.488105265,255942.853797514,40.3858100302132,532,"strategy","prob_AH_pxlvd","0.75 * general_params$prob_AH_pxlvd",0.00537975,255942.853797514,40.3858100302132
31848.3656922492,224094.488105265,255942.853797514,40.3858100302132,532,"strategy","prob_AH_pxlvd","1.25 * general_params$prob_AH_pxlvd",0.00896625,255942.853797514,40.3858100302132
31042.0809447851,217224.761071425,248266.84201621,38.8514516247081,532,"strategy","prob_AH_syntc","0.75 * general_params$prob_AH_syntc",0.048387,248266.84201621,38.8514516247081
32592.2641613979,230419.777544104,263012.041705501,41.7767890397997,532,"strategy","prob_AH_syntc","1.25 * general_params$prob_AH_syntc",0.080645,263012.041705501,41.7767890397997
