"cost_drugs","cost_items","cost_total","count_drugs",".n_indiv",".strategy_names",".par_names",".par_value",".par_value_eval",".cost",".effect"
29785.9531901909,201012.66443246,230798.617622651,0,1032,"strategy","rrr_pxlvd","0.7213",0.7213,230798.617622651,0
29785.9531901909,201012.66443246,230798.617622651,0,1032,"strategy","rrr_pxlvd","0.9556",0.9556,230798.617622651,0
29785.9531901909,201012.66443246,230798.617622651,0,1032,"strategy","rrr_rmsvr","0.4141",0.4141,230798.617622651,0
29785.9531901909,201012.66443246,230798.617622651,0,1032,"strategy","rrr_rmsvr","0.9688",0.9688,230798.617622651,0
29785.9531901909,201012.66443246,230798.617622651,0,1032,"strategy","cost_A_pxlvd_drugs","51.6",51.6,230798.617622651,0
29785.9531901909,201012.66443246,230798.617622651,0,1032,"strategy","cost_A_pxlvd_drugs","262.6",262.6,230798.617622651,0
29785.9531901909,201012.66443246,230798.617622651,0,1032,"strategy","prob_AH_pxlvd","0.75 * general_params$prob_AH_pxlvd",0.00537975,230798.617622651,0
29785.9531901909,201012.66443246,230798.617622651,0,1032,"strategy","prob_AH_pxlvd","1.25 * general_params$prob_AH_pxlvd",0.00896625,230798.617622651,0
27881.5866616226,184818.383777477,212699.9704391,0,1032,"strategy","prob_AH_syntc","0.75 * general_params$prob_AH_syntc",0.048387,212699.9704391,0
31548.9207497562,215956.010059328,247504.930809084,0,1032,"strategy","prob_AH_syntc","1.25 * general_params$prob_AH_syntc",0.080645,247504.930809084,0
