"cost_drugs","cost_items","cost_total","count_drugs",".n_indiv",".strategy_names",".par_names",".par_value",".par_value_eval",".cost",".effect"
5609119.91402755,3563311.4364904,9172431.35051795,59620.7889278601,44458,"strategy","rrr_pxlvd","0.7213",0.7213,9172431.35051795,59620.7889278601
5611749.35196484,3794050.79684216,9405800.148807,59620.7889278601,44458,"strategy","rrr_pxlvd","0.9556",0.9556,9405800.148807,59620.7889278601
5610868.61453629,3704225.74616594,9315094.36070222,59620.7889278601,44458,"strategy","rrr_rmsvr","0.4141",0.4141,9315094.36070222,59620.7889278601
5610868.61453629,3704225.74616594,9315094.36070222,59620.7889278601,44458,"strategy","rrr_rmsvr","0.9688",0.9688,9315094.36070222,59620.7889278601
2855229.52560097,3704225.74616594,6559455.2717669,59620.7889278601,44458,"strategy","cost_A_pxlvd_drugs","51.6",51.6,6559455.2717669,59620.7889278601
13568077.9413606,3704225.74616594,17272303.6875265,59620.7889278601,44458,"strategy","cost_A_pxlvd_drugs","262.6",262.6,17272303.6875265,59620.7889278601
5613570.6144658,3546042.9224167,9159613.5368825,59959.6880326339,44458,"strategy","prob_AH_pxlvd","0.75 * general_params$prob_AH_pxlvd",0.00537975,9159613.5368825,59959.6880326339
5608079.03675427,3860637.64391704,9468716.6806713,59285.6933550011,44458,"strategy","prob_AH_pxlvd","1.25 * general_params$prob_AH_pxlvd",0.00896625,9468716.6806713,59285.6933550011
5610868.61453629,3704225.74616594,9315094.36070222,59620.7889278601,44458,"strategy","prob_AH_syntc","0.75 * general_params$prob_AH_syntc",0.048387,9315094.36070222,59620.7889278601
5610868.61453629,3704225.74616594,9315094.36070222,59620.7889278601,44458,"strategy","prob_AH_syntc","1.25 * general_params$prob_AH_syntc",0.080645,9315094.36070222,59620.7889278601
