"cost_drugs","cost_items","cost_total","count_deaths",".n_indiv",".strategy_names",".par_names",".par_value",".par_value_eval",".cost",".effect"
624128.011114583,781415.687573595,1405543.69868818,86.1319821116075,6120,"strategy","rrr_pxlvd","0.7213",0.7213,1405543.69868818,86.1319821116075
630382.864051066,911937.247556039,1542320.1116071,19.5508770603972,6120,"strategy","rrr_pxlvd","0.9556",0.9556,1542320.1116071,19.5508770603972
628435.777252994,862681.4893615,1491117.26661449,43.3412493099145,6120,"strategy","rrr_rmsvr","0.4141",0.4141,1491117.26661449,43.3412493099145
628435.777252994,862681.4893615,1491117.26661449,43.3412493099145,6120,"strategy","rrr_rmsvr","0.9688",0.9688,1491117.26661449,43.3412493099145
344561.298235742,862681.4893615,1207242.78759724,43.3412493099145,6120,"strategy","cost_A_pxlvd_drugs","51.6",51.6,1207242.78759724,43.3412493099145
1448154.39031571,862681.4893615,2310835.87967721,43.3412493099145,6120,"strategy","cost_A_pxlvd_drugs","262.6",262.6,2310835.87967721,43.3412493099145
628775.250713296,846836.61458129,1475611.86529459,42.2711822236853,6120,"strategy","prob_AH_pxlvd","0.75 * general_params$prob_AH_pxlvd",0.00537975,1475611.86529459,42.2711822236853
628087.884845658,878348.373049891,1506436.25789555,44.3993075832174,6120,"strategy","prob_AH_pxlvd","1.25 * general_params$prob_AH_pxlvd",0.00896625,1506436.25789555,44.3993075832174
628435.777252994,862681.4893615,1491117.26661449,43.3412493099145,6120,"strategy","prob_AH_syntc","0.75 * general_params$prob_AH_syntc",0.048387,1491117.26661449,43.3412493099145
628435.777252994,862681.4893615,1491117.26661449,43.3412493099145,6120,"strategy","prob_AH_syntc","1.25 * general_params$prob_AH_syntc",0.080645,1491117.26661449,43.3412493099145
