"cost_drugs","cost_items","cost_total","count_drugs",".n_indiv",".strategy_names",".par_names",".par_value",".par_value_eval",".cost",".effect"
2005291.62983841,1097903.20139453,3103194.83123294,21547.4509560253,16811,"strategy","rrr_pxlvd","0.7213",0.7213,3103194.83123294,21547.4509560253
2005817.97006655,1149716.27073646,3155534.24080301,21547.4509560253,16811,"strategy","rrr_pxlvd","0.9556",0.9556,3155534.24080301,21547.4509560253
2005639.00438657,1129526.36083374,3135165.36522032,21547.4509560253,16811,"strategy","rrr_rmsvr","0.4141",0.4141,3135165.36522032,21547.4509560253
2005639.00438657,1129526.36083374,3135165.36522032,21547.4509560253,16811,"strategy","rrr_rmsvr","0.9688",0.9688,3135165.36522032,21547.4509560253
1009728.02787828,1129526.36083374,2139254.38871202,21547.4509560253,16811,"strategy","cost_A_pxlvd_drugs","51.6",51.6,2139254.38871202,21547.4509560253
4881440.89832048,1129526.36083374,6010967.25915422,21547.4509560253,16811,"strategy","cost_A_pxlvd_drugs","262.6",262.6,6010967.25915422,21547.4509560253
2006599.12023398,1072236.93955366,3078836.05978764,21669.9319223203,16811,"strategy","prob_AH_pxlvd","0.75 * general_params$prob_AH_pxlvd",0.00537975,3078836.05978764,21669.9319223203
2004646.8486927,1186172.89958654,3190819.74827924,21426.3446179241,16811,"strategy","prob_AH_pxlvd","1.25 * general_params$prob_AH_pxlvd",0.00896625,3190819.74827924,21426.3446179241
2005639.00438657,1129526.36083374,3135165.36522032,21547.4509560253,16811,"strategy","prob_AH_syntc","0.75 * general_params$prob_AH_syntc",0.048387,3135165.36522032,21547.4509560253
2005639.00438657,1129526.36083374,3135165.36522032,21547.4509560253,16811,"strategy","prob_AH_syntc","1.25 * general_params$prob_AH_syntc",0.080645,3135165.36522032,21547.4509560253
