"cost_drugs","cost_items","cost_total","count_drugs",".n_indiv",".strategy_names",".par_names",".par_value",".par_value_eval",".cost",".effect"
18574.3724957878,127083.961982877,145658.334478665,0,197,"strategy","rrr_pxlvd","0.7213",0.7213,145658.334478665,0
18574.3724957878,127083.961982877,145658.334478665,0,197,"strategy","rrr_pxlvd","0.9556",0.9556,145658.334478665,0
18574.3724957878,127083.961982877,145658.334478665,0,197,"strategy","rrr_rmsvr","0.4141",0.4141,145658.334478665,0
18574.3724957878,127083.961982877,145658.334478665,0,197,"strategy","rrr_rmsvr","0.9688",0.9688,145658.334478665,0
18574.3724957878,127083.961982877,145658.334478665,0,197,"strategy","cost_A_pxlvd_drugs","51.6",51.6,145658.334478665,0
18574.3724957878,127083.961982877,145658.334478665,0,197,"strategy","cost_A_pxlvd_drugs","262.6",262.6,145658.334478665,0
18574.3724957878,127083.961982877,145658.334478665,0,197,"strategy","prob_AH_pxlvd","0.75 * general_params$prob_AH_pxlvd",0.00537975,145658.334478665,0
18574.3724957878,127083.961982877,145658.334478665,0,197,"strategy","prob_AH_pxlvd","1.25 * general_params$prob_AH_pxlvd",0.00896625,145658.334478665,0
18352.6659320089,125314.282990581,143666.94892259,0,197,"strategy","prob_AH_syntc","0.75 * general_params$prob_AH_syntc",0.048387,143666.94892259,0
18779.4009304531,128716.379331292,147495.780261745,0,197,"strategy","prob_AH_syntc","1.25 * general_params$prob_AH_syntc",0.080645,147495.780261745,0
