"cost_drugs","cost_items","cost_total","count_drugs",".n_indiv",".strategy_names",".par_names",".par_value",".par_value_eval",".cost",".effect"
71581.774481177,498073.490639676,569655.265120853,0,1774,"strategy","rrr_pxlvd","0.7213",0.7213,569655.265120853,0
71581.774481177,498073.490639676,569655.265120853,0,1774,"strategy","rrr_pxlvd","0.9556",0.9556,569655.265120853,0
71581.774481177,498073.490639676,569655.265120853,0,1774,"strategy","rrr_rmsvr","0.4141",0.4141,569655.265120853,0
71581.774481177,498073.490639676,569655.265120853,0,1774,"strategy","rrr_rmsvr","0.9688",0.9688,569655.265120853,0
71581.774481177,498073.490639676,569655.265120853,0,1774,"strategy","cost_A_pxlvd_drugs","51.6",51.6,569655.265120853,0
71581.774481177,498073.490639676,569655.265120853,0,1774,"strategy","cost_A_pxlvd_drugs","262.6",262.6,569655.265120853,0
71581.774481177,498073.490639676,569655.265120853,0,1774,"strategy","prob_AH_pxlvd","0.75 * general_params$prob_AH_pxlvd",0.00537975,569655.265120853,0
71581.774481177,498073.490639676,569655.265120853,0,1774,"strategy","prob_AH_pxlvd","1.25 * general_params$prob_AH_pxlvd",0.00896625,569655.265120853,0
68939.2130526632,475624.845545972,544564.058598635,0,1774,"strategy","prob_AH_syntc","0.75 * general_params$prob_AH_syntc",0.048387,544564.058598635,0
74017.3359239643,518729.480345081,592746.816269045,0,1774,"strategy","prob_AH_syntc","1.25 * general_params$prob_AH_syntc",0.080645,592746.816269045,0
