"model_time","cost_drugs","cost_healthcare","cost_total","count_drug_dosis_dia"
1,4570.85197962295,125325.266186029,129896.118165652,0
2,4604.11939794849,66729.4927528741,71333.6121508226,0
3,4734.44202547663,73416.1313967063,78150.573422183,0
4,4897.9866344323,76684.228624948,81582.2152593803,0
5,5051.58533220819,77238.3828336362,82289.9681658444,0
6,5160.44598179257,75242.6820619971,80403.1280437896,0
7,4901.38590822519,71828.9199170625,76730.3058252877,0
8,4545.15557617083,67441.9659703182,71987.121546489,0
9,4130.81455457527,62537.2776870843,66668.0922416596,0
10,3688.96537919943,57345.5497972375,61034.5151764369,0
11,3244.69914992922,52188.6325086522,55433.3316585814,0
12,2818.73164529389,47166.3226359101,49985.054281204,0
13,2422.47968527088,42449.6885138285,44872.1681990994,0
14,2062.37039556522,38052.1293843899,40114.4997799551,0
15,1742.07652316811,34072.5872967028,35814.6638198709,0
16,1462.25619374666,30474.9899078316,31937.2461015782,0
17,1220.75967427257,27229.4999601616,28450.2596344342,0
18,1015.01263655338,24322.944524563,25337.9571611163,0
19,841.090278811272,21721.2970426583,22562.3873214696,0
20,695.357594928982,19400.023896153,20095.381491082,0
21,573.761382236412,17338.8584640911,17912.6198463275,0
22,472.800392772345,15509.2033175188,15982.0037102911,0
23,389.326312465686,13880.6681457091,14269.9944581748,0
24,320.43339861323,12426.5763866314,12747.0097852446,0
25,263.675573762183,11126.7657885881,11390.4413623503,0
26,216.944499373454,9964.10936192717,10181.0538613006,0
27,178.48263283775,8927.83741443042,9106.32004726817,0
28,146.812918128829,8003.38242727816,8150.19534540699,0
