"model_time","cost_drugs","cost_healthcare","cost_total","count_drug_dosis_dia"
1,1510.29901390434,32259.4258535756,33769.7248674799,0
2,1446.60505653128,16558.0247846803,18004.6298412116,0
3,1438.1268105669,19576.6528632156,21014.7796737825,0
4,1458.25393996191,21330.5450343276,22788.7989742895,0
5,1490.5770051456,22217.9464652862,23708.5234704319,0
6,1521.68551839019,22312.1294256413,23833.8149440315,0
7,1489.82887564307,21939.5926816761,23429.4215573192,0
8,1418.47792204379,21147.566503241,22566.0444252847,0
9,1322.86243262923,20147.2503381245,21470.1127707537,0
10,1214.46663605748,19022.0085246281,20236.4751606856,0
11,1100.00691599589,17783.3225262363,18883.3294422322,0
12,985.586161355667,16488.8244811673,17474.410642523,0
13,875.013407841497,15219.1631839449,16094.1765917864,0
14,771.374901300377,13995.999847903,14767.3747492033,0
15,675.617297666512,12818.3913932448,13494.0086909113,0
16,588.368926171656,11709.9691702705,12298.3380964422,0
17,509.933494767015,10665.1319560076,11175.0654507746,0
18,440.217906511623,9688.24540220519,10128.4633087168,0
19,378.695732551066,8788.56493613807,9167.26066868914,0
20,324.72272815877,7963.33676841473,8288.0594965735,0
21,277.712452598522,7208.54280209957,7486.25525469809,0
22,236.933542737873,6519.81820988855,6756.75175262642,0
23,201.76043726942,5892.64827116903,6094.40870843845,0
24,171.570138223124,5322.51060551087,5494.080743734,0
25,145.71262220627,4804.97574856467,4950.68837077094,0
26,123.608960972904,4335.77612255706,4459.38508352997,0
27,104.747195192285,3910.85118992142,4015.5983851137,0
28,88.6772882485683,3526.37480960654,3615.05209785511,0
