"model_time","cost_drugs","cost_healthcare","cost_total","count_drug_dosis_dia"
1,3875.63499248846,146994.309822642,150869.944815131,0
2,4229.98860402413,80625.3400743997,84855.3286784238,0
3,4549.52191548488,81678.0236411681,86227.545556653,0
4,4809.34100141252,80480.8440645037,85290.1850659162,0
5,4995.55069683193,77590.1943352115,82585.7450320435,0
6,5102.26501221343,73428.1311061696,78530.396118383,0
7,4654.72388535657,68412.6487385117,73067.3726238683,0
8,4173.92132315932,62919.6187933221,67093.5401164814,0
9,3686.52113529902,57268.1685582661,60954.6896935651,0
10,3212.54272372608,51783.3444271033,54995.8871508294,0
11,2766.11582364324,46593.6151601032,49359.7309837465,0
12,2355.78013902678,41699.1881930425,44054.9683320693,0
13,1986.80938886737,37169.2875331257,39156.096921993,0
14,1661.01621725804,33019.9941671112,34681.0103843692,0
15,1378.11911549241,29282.1287196042,30660.2478350966,0
16,1135.26616311104,25942.004866786,27077.2710298971,0
17,928.867721515336,22974.7932288477,23903.6609503631,0
18,755.762978916795,20365.122829409,21120.8858083258,0
19,612.186582434841,18073.8635464727,18686.0501289075,0
20,494.158876411828,16049.1053234449,16543.2641998567,0
21,398.023887808587,14276.7725314628,14674.7964192714,0
22,320.246084401093,12718.5640908132,13038.8101752143,0
23,257.651027016715,11343.9410166476,11601.5920436644,0
24,207.383236277249,10129.5258282812,10336.9090645585,0
25,167.074892080149,9055.52067748157,9222.59556956172,0
26,134.869224593623,8103.77372193247,8238.64294652609,0
27,109.082692378469,7258.27632935904,7367.35902173751,0
28,88.4238484150393,6506.53430439387,6594.95815280891,0
