"model_time","cost_drugs","cost_healthcare","cost_total","count_drug_dosis_dia"
1,2400951.44262329,2799956.96186617,5200908.40448946,22656.99977352
2,2151306.36362989,292600.510503976,2443906.87413387,20228.1693977987
3,1930142.28255647,354971.140011007,2285113.42256748,18059.7096383546
4,1733349.96973967,398043.805456555,2131393.77519622,16123.708765123
5,1557617.90562425,425527.642977029,1983145.54860127,14395.2471855018
6,142279.929606175,441232.431169453,583512.360775628,12852.076687216
7,131967.210225039,447210.642462291,579177.85268733,11474.3340663465
8,120819.714135139,445435.863358662,566255.577493801,10244.2854544341
9,109567.944878713,438382.061745439,547950.006624152,9146.0980537188
10,98727.4986062627,427864.293226752,526591.791833015,8165.63634236014
11,88586.7085043681,414601.573745513,503188.282249881,7290.28012645914
12,79259.7766108183,399352.975096328,478612.751707147,6508.76209690272
13,70799.6697581307,382646.472299357,453446.142057488,5811.02280011475
14,63195.9931015215,364958.289831172,428154.282932694,5188.08115594245
15,56383.9126933782,346643.613175045,403027.525868423,4631.91885602542
16,50283.7907391344,328192.442932717,378476.233671851,4135.37715465949
17,44835.1123962984,309826.37040496,354661.482801258,3692.06472367999
18,39971.2313356785,291673.104539109,331644.335874787,3296.2753853015
19,35632.715855709,273920.63263439,309553.348490099,2942.91466399718
20,31765.9889595241,256695.037487637,288461.026447162,2627.43421201668
21,28322.7175811076,240053.643542813,268376.361123921,2345.77326448849
22,25252.7263282644,224083.297978845,249336.024307109,2094.30637053533
23,22515.3608020923,208812.977505711,231328.338307804,1869.79672761394
24,20075.5173518705,194303.37254495,214378.88989682,1669.35451841373
25,17901.3152179561,180553.408928375,198454.724146331,1490.39971403977
26,15963.4479551444,167557.219135079,183520.667090223,1330.62886469471
27,14236.762753473,155307.468805196,169544.231558669,1187.98545039944
28,12697.9364925215,143800.531756318,156498.46824884,1060.63341011662
