"model_time","cost_drugs","cost_healthcare","cost_total","count_drug_dosis_dia"
1,1480914.73093397,16591855.9213188,18072770.6522528,950.999100719993
2,4742357.2111365,7909363.89947819,12651721.1106147,9767.60762147631
3,6994375.84053646,10998087.803984,17992463.6445205,15777.8273815263
4,8243049.34893105,13185520.7698955,21428570.1188266,19638.941352441
5,7060770.75766656,14649131.9083844,21709902.6660509,21875.5293182169
6,6088943.26151152,15538251.1014631,21627194.3629746,22905.4167706908
7,5281013.52213881,15971302.1756931,21252315.6978319,23046.0310395174
8,4575509.52361221,16047318.7695273,20622828.2931395,22548.4936335906
9,3961701.06889511,15853643.1353802,19815344.2042753,21619.1358530911
10,3428385.3998037,15460966.5191964,18889351.9190001,20414.1465998501
11,2964325.33836584,14921006.9417815,17885332.2801474,19040.6768430805
12,2561044.50782937,14278149.9379786,16839194.445808,17584.8156953395
13,2210892.12459258,13566100.5814108,15776992.7060034,16105.8446427737
14,1907207.20224893,12812413.7326257,14719620.9348746,14648.1330036426
15,1644022.29907181,12038017.4602192,13682039.7592911,13241.0346474876
16,1416400.68565115,11262024.0366622,12678424.7223133,11909.8199682892
17,1219548.10617478,10496396.0554301,11715944.1616049,10664.9009599731
18,1049323.22328189,9749976.68917883,10799299.9124607,9511.56814054608
19,902343.381941572,9030319.52508267,9932662.90702424,8453.47038992074
20,775527.915732848,8342281.44436078,9117809.36009363,7489.69451347743
21,666143.455472222,7688628.80998845,8354772.26546067,6616.38748413572
22,571894.667716254,7071690.51155746,7643585.17927371,5830.08665430693
23,490711.034179656,6492012.56445611,6982723.59863577,5124.73714264311
24,420870.368043943,5950279.6848727,6371150.05291664,4495.7737839506
25,360796.012120125,5445628.74631309,5806424.75843322,3936.34211137386
26,309145.805476786,4977038.22557327,5286184.03105005,3440.34734756219
27,264772.202802907,4543182.0336475,4807954.23645041,3001.861596232
28,226680.9891479,4142670.44976093,4369351.43890883,2615.54967871409
