"model_time","cost_drugs","cost_healthcare","cost_total","count_drug_dosis_dia"
1,3242302.2080627,3819859.06237022,7062161.27043292,30593.00016675
2,2906367.4617207,426579.836903168,3332947.29862387,27313.4305488744
3,2608624.11213217,514178.432046781,3122802.54417895,24385.4307940351
4,2343713.69032518,578641.700034171,2922355.39035935,21771.3126129145
5,2107291.43291824,623667.216122934,2730958.64904117,19437.4279008101
6,197124.765092507,652093.638637033,849218.40372954,17353.7356298432
7,183404.877007105,667222.540171621,850627.417178726,15493.415170324
8,168746.628361285,671626.157467857,840372.785829142,13832.5210640653
9,153988.610957265,667471.017616839,821459.628574104,12349.6748059975
10,139663.8359977,656493.200979632,796157.036977332,11025.7896667946
11,126089.546334357,640280.729739658,766370.276074015,9843.82501451419
12,113454.628726693,620055.656739208,733510.285465901,8788.56697295827
13,101828.084783789,596925.177932097,698753.262715886,7846.43259345715
14,91222.0233530911,571718.934611237,662940.957964328,7005.29501943854
15,81606.4866024268,545226.628777848,626833.115380275,6254.32739335473
16,72933.9280701028,518004.427515267,590938.35558537,5583.8634967871
17,65137.7565825288,490483.221389578,555620.977972107,4985.27332993153
18,58148.0637110885,463042.521310842,521190.585021931,4450.85202896287
19,51891.902457314,435966.105551692,487858.008009006,3973.72069145805
20,46300.2406089892,409484.751763124,455784.992372113,3547.73783333375
21,41305.264079655,383791.19373996,425096.457819615,3167.42033760037
22,36846.5628597058,359019.086368587,395865.649228293,2827.87287740961
23,32869.0264139039,335250.734292646,368119.76070655,2524.7249049513
24,29321.4011099645,312535.387206315,341856.788316279,2254.07439514052
25,26157.4634978749,290906.141403457,317063.604901332,2012.43761998146
26,23335.4405673806,270380.188699124,293715.629266505,1796.70430711944
27,20817.7232147715,250975.111101274,271792.834316045,1604.09760539624
28,18571.3871371263,232683.505030094,251254.89216722,1432.13834209776
