"model_time","cost_drugs","cost_healthcare","cost_total","count_drug_dosis_dia"
1,7166880.84970431,8276497.56609175,15443378.4157961,67639.00033863
2,6419416.2726844,822114.102106223,7241530.37479062,60388.0995023289
3,5758363.87885968,1027577.28997624,6785941.16883593,53914.4952356792
4,5171224.5974689,1180909.03800849,6352133.6354774,48134.8613464144
5,4647941.95813317,1290278.67264332,5938220.63077649,42974.8042100788
6,424688.003165819,1362023.08894947,1786711.09211528,38367.9051987584
7,397786.401645361,1403470.83708231,1801257.23872767,34254.8657614515
8,367761.644843729,1420378.65786335,1788140.30270708,30582.7441518239
9,336783.24284043,1417618.32913099,1754401.57197142,27304.2739787484
10,306251.156436918,1399104.8521186,1705356.00855551,24377.2558082265
11,277022.704512063,1368422.55035473,1645445.2548668,21764.0139855847
12,249624.085217393,1328336.7370864,1577960.8223038,19430.91168633
13,224284.918580742,1281355.63440655,1505640.55298729,17347.9179535554
14,201085.449999241,1229363.34974545,1430448.79974469,15488.2211489343
15,179996.406695551,1174155.28129612,1354151.68799167,13827.8838417685
16,160938.278381205,1117000.19847075,1277938.47685196,12345.5346939309
17,143781.235980662,1058884.31971406,1202665.55569472,11022.0933747415
18,128382.619769769,1000678.28108905,1129060.90085882,9840.52496496924
19,114589.159855075,943036.438553053,1057625.59840813,8785.62068872454
20,102253.692292164,886493.555210344,988747.247502508,7843.80215089327
21,91229.8442481728,831498.553460182,922728.397708355,7002.94656031751
22,81386.538090694,778366.516898769,859753.054989463,6252.23068905147
23,72603.6068329523,727296.045212132,799899.652045084,5581.99155918516
24,64768.7922195444,678410.667344265,743179.45956381,4983.60206404051
25,57780.5978507097,631797.132553549,689577.730404258,4449.35992277537
26,51547.1150360394,587505.868069664,639052.983105703,3972.38853905385
27,45985.4754161006,545588.000163745,591573.475579846,3546.54848766727
28,41023.1127193074,506037.493817209,547060.606536516,3166.35848978934
