"model_time","cost_drugs","cost_healthcare","cost_total","count_drug_dosis_dia"
1,1501827.16537871,2146534.64495643,3648361.81033514,14135.99996939
2,1357284.53124828,469556.540412413,1826841.07166069,12620.6207726714
3,1225889.85710963,482223.54583573,1708113.40294536,11267.690225841
4,1106648.46369819,486392.00367712,1593040.46737531,10059.7938336309
5,998580.456286005,483804.063064587,1482384.51935059,8981.38393466563
6,115851.770864409,475887.575270852,591739.346135262,8018.57957686948
7,101639.65639334,463871.173780293,565510.830173634,7158.98784622907
8,89385.6832179764,448757.66345731,538143.346675287,6391.54434911331
9,78761.9228839234,431432.724000376,510194.646884299,5706.37079488837
10,69511.7646803525,412596.824395401,482108.589075754,5094.64784567633
11,61430.4348430167,392843.769831707,454274.204674724,4548.50159661983
12,54352.3343845441,372550.731173425,426903.065557969,4060.90222546219
13,48137.4931109837,352095.820913449,400233.314024433,3625.54794534964
14,42671.7831574548,331758.468843831,374430.252001285,3236.86638442347
15,37856.5163498673,311776.380901964,349632.897251831,2889.85393340323
16,33608.4078404996,292299.899283465,325908.307123965,2580.04340141881
17,29854.1893963488,273448.023910929,303302.213307278,2303.4465085803
18,26533.8970099385,255327.082990457,281860.980000396,2056.50254370644
19,23594.6315118578,238000.049024861,261594.680536719,1836.03252626763
20,20990.9285093415,221507.901767038,242498.83027638,1639.19828245732
21,18682.4245164476,205865.072215467,224547.496731915,1463.46590856602
22,16634.3510896268,191070.386793366,207704.737882993,1306.57315131169
23,14816.0159735092,177113.258679404,191929.274652914,1166.50028520398
24,13200.0487600586,163984.06398212,177184.112742179,1041.44411203836
25,11762.9163367715,151665.376861219,163428.293197991,929.794747808143
26,10484.0194037995,140135.531976294,150619.551380093,830.114898205665
27,9345.55260312092,129362.391872404,138707.944475525,741.121355920146
28,8331.90892023305,119318.420127152,127650.329047385,661.668481541737
