"model_time","cost_drugs","cost_healthcare","cost_total","count_drug_dosis_dia"
1,197011.739502355,852433.735269643,1049445.474772,1802.00000688
2,194785.742630441,472837.310488712,667623.053119154,1608.82560614246
3,187395.793963158,431993.424292788,619389.218255946,1436.35950116399
4,176978.351486371,393700.399933393,570678.751419764,1282.38176263921
5,164981.095223293,358282.645489908,523263.740713201,1144.91043768429
6,52312.5480458048,325782.793413582,378095.341459387,1022.17603876453
7,38591.0558241475,296129.411418486,334720.467242633,912.598767408975
8,28783.7585042502,269151.719690857,297935.478195107,814.768179542733
9,21753.8467665752,244666.213637334,266420.060403909,727.425030695752
10,16692.0603880597,222455.220769389,239147.281157449,649.445067405167
11,13023.4958692407,202311.363428578,215334.859297819,579.824556179334
12,10341.4805657086,184009.716714858,194351.197280567,517.667363756909
13,8357.31815272168,167373.671277548,175730.98943027,462.168602859692
14,6868.66452531217,152242.90324986,159111.567775173,412.619825826193
15,5732.56755772236,138477.614078257,144210.18163598,368.383138991648
16,4849.29093441676,125946.648969052,130795.939903469,328.889036830971
17,4148.72289108199,114535.291942465,118684.014833547,293.629070113484
18,3582.76770015357,104144.796335011,107727.564035165,262.149300099717
19,3117.39305568943,94683.8099694952,97801.2030251847,234.04445450926
20,2728.71651569418,86069.9770919565,88798.6936076507,208.952710023262
21,2399.58129377432,78227.4104668717,80626.991760646,186.55103415124
22,2117.71726399958,71086.9766066347,73204.6938706343,166.551026493137
23,1874.08466978128,64586.0058830677,66460.090552849,148.6952058568
24,1661.84515677464,58668.8140854587,60330.6592422333,132.753695431035
25,1475.85576865123,53284.4421609108,54760.297929562,118.521263338969
26,1312.12083279327,48386.4958393514,49698.6166721447,105.814680471647
27,1167.51081370246,43931.6090562037,45099.1198699061,94.4703615864623
28,1039.49845348096,39881.2141837901,40920.7126372711,84.3422593018015
