"model_time","cost_drugs","cost_healthcare","cost_total","count_drug_dosis_dia"
1,1086258.37758346,12696752.0261355,13783010.4037189,585.999895360009
2,3614158.80266986,6039152.43073029,9653311.23340015,7420.95459125644
3,5358478.81200362,8428911.24002092,13787390.0520245,12077.5835356939
4,6360112.56569842,10119410.9580273,16479523.5237257,15066.8724487616
5,5447676.85531762,11250376.7215112,16698053.5768288,16799.7900310807
6,4696953.70123051,11935578.2588322,16632531.9600627,17595.8366844514
7,4074410.36590985,12271508.1752093,16345918.5411192,17710.7973118479
8,3531698.46929016,12336996.1652646,15868694.6345548,17342.3901567135
9,3058484.57860996,12194510.1474975,15252994.7261075,16639.2560495055
10,2645981.16631812,11893754.3906126,14539735.5569307,15713.0514539554
11,2287400.47773093,11478694.7903252,13766095.2680561,14655.8372007448
12,1975986.35553268,10983163.2698212,12959149.6253538,13532.8067919259
13,1705551.08306472,10433322.9219296,12138874.0049944,12390.2482433311
14,1471167.23012335,9852164.95682388,11323332.1869472,11265.9339628901
15,1268072.4558269,9255702.24295246,10523774.6987794,10181.9196202169
16,1092086.42808885,8655710.96497647,9747797.39306533,9151.72585626928
17,939872.483441816,8062962.76477571,9002835.24821753,8187.10872636494
18,808441.922041786,7486077.24816285,8294519.17020463,7295.58075451932
19,695024.121440475,6930805.31856255,7625829.44000303,6479.4288596032
20,597097.1307921,6399907.23762474,6997004.36841684,5735.86985221381
21,512629.78597037,5895846.56425623,6408476.3502266,5062.71475084561
22,439781.961777158,5419210.25995415,5858992.22173131,4454.79829829329
23,377096.958984162,4971744.59978433,5348841.55876849,3910.3589320948
24,323220.512923353,4554024.91259906,4877245.42552241,3425.73746915854
25,276886.778304777,4165276.9128194,4442163.69112418,2995.37724472753
26,237049.39063018,3804455.82606954,4041505.21669972,2614.04286044645
27,202841.959615067,3470687.7320415,3673529.69165657,2277.49092454415
28,173494.182042109,3162727.28469253,3336221.46673463,1981.22361067703
