"model_time","cost_drugs","cost_healthcare","cost_total","count_drug_dosis_dia"
1,764126.156714422,1423064.92890201,2187191.08561643,7161.99993938
2,700288.301131981,477542.418420339,1177830.71955232,6394.23354587846
3,639157.81192395,459618.814160607,1098776.62608456,5708.77170976029
4,581538.237368,439511.495808957,1021049.73317696,5096.79138247399
5,527842.855377313,418102.336583362,945945.191960675,4550.41534627278
6,80552.5254418015,395985.717749381,476538.243191182,4062.61082115234
7,66470.4591437475,373671.713975197,440142.173118944,3627.09894112481
8,55492.555444392,351525.985547082,407018.540991474,3238.27393463623
9,46821.2899876919,329822.626632432,376643.916620124,2891.13096884322
10,39875.5476903617,308679.27029673,348554.817987092,2581.20172898323
11,34234.0251603857,288274.902300721,322508.927461106,2304.49690363623
12,29593.0608437478,268684.37528811,298277.436131858,2057.45483556642
13,25727.519510298,249972.030131617,275699.549641915,1836.8956771937
14,22471.9167271701,232196.71414802,254668.630875191,1639.98046059854
15,19702.9630102557,215372.508014167,235075.471024423,1464.17455522238
16,17329.4362870163,199482.686722468,216812.123009484,1307.21504290254
17,15279.2457261403,184534.181357085,199813.427083226,1167.06999553194
18,13498.9945011086,170515.955856652,184014.95035776,1041.94974030182
19,11946.2115621548,157407.686123617,169353.897685772,930.243486227398
20,10586.548579625,145170.648807759,155757.197387384,830.513133404917
21,9392.24376474467,133770.053619238,143162.297383983,741.474758995994
22,8341.08683025903,123163.697219466,131504.784049725,661.982088078696
23,7413.73007923371,113312.514922318,120726.245001551,591.01173656998
24,6594.07081233124,104175.8986816,110769.969493932,527.650036237748
25,5868.27452740743,95712.2593721618,101580.533899569,471.081272188459
26,5224.78285056505,87879.3211424897,93104.1039930547,420.577181400412
27,4653.53107018776,80639.9759844431,85293.5070546309,375.487577107397
28,4146.07812868908,73956.3628227967,78102.4409514857,335.231978331589
