"model_time","cost_drugs","cost_healthcare","cost_total","count_drug_dosis_dia"
1,4626.78898369836,238751.899802301,243378.688785999,0
2,5545.27115960895,132901.709482061,138446.98064167,0
3,6226.59573466526,125896.046633617,132122.642368282,0
4,6685.87546864036,116976.531668862,123662.407137502,0
5,6944.01057453355,106935.69027618,113879.700850713,0
6,7025.26898460493,96293.9310853071,103319.200069912,0
7,6062.06422907539,85607.454791091,91669.5190201664,0
8,5141.33300318672,75348.0799136033,80489.41291679,0
9,4293.76412313098,65862.7310325431,70156.4951556741,0
10,3536.0234411752,57473.3265721113,61009.3500132865,0
11,2875.67279819363,50157.392883196,53033.0656813897,0
12,2312.62782047494,43733.851521058,46046.4793415329,0
13,1842.62154466311,38158.4724203297,40001.0939649928,0
14,1457.31940325506,33334.8101806997,34792.1295839548,0
15,1146.60591506742,29201.6399346405,30348.245849708,0
16,898.323646787048,25660.8264087435,26559.1500555305,0
17,701.372987132428,22621.0651964371,23322.4381835695,0
18,546.94305099439,20015.7406655579,20562.6837165523,0
19,426.848656089956,17768.6167023064,18195.4653583963,0
20,333.954168965195,15806.2648951643,16140.2190641295,0
21,262.389031046109,14097.9556648553,14360.3446959014,0
22,207.277157974553,12597.8356344381,12805.1127924127,0
23,164.752877816084,11272.3818948349,11437.134772651,0
24,131.729280207809,10097.3139424955,10229.0432227033,0
25,105.907192542843,9053.14339132146,9159.0505838643,0
26,85.6505610542279,8122.90835309947,8208.5589141537,0
27,69.597641763486,7292.16116668955,7361.75880845304,0
28,56.7923073027534,6549.69717252774,6606.4894798305,0
