"model_time","cost_drugs","cost_healthcare","cost_total","count_drug_dosis_dia"
1,13287754.1502194,14877261.370355,28165015.5205744,125448.99863355
2,11888185.2191591,1186076.85342676,13074262.0725859,112000.865980033
3,10654433.3774917,1601349.95581593,12255783.3333076,99994.3731469739
4,9561539.68051569,1918669.78695526,11480209.467471,89274.9763456183
5,8589631.50381139,2153164.73734307,10742796.2411545,79704.698881368
6,757180.75129947,2318448.90518019,3075629.65647965,71160.3551612853
7,717489.794472991,2425825.25217796,3143315.04665095,63531.9650879956
8,669212.734306445,2485172.05413073,3154384.78843718,56721.3384305624
9,617172.014183268,2505677.82404597,3122849.83822924,50640.8109508061
10,564524.674532875,2495208.58572462,3059733.2602575,45212.1160168797
11,513259.082616027,2459857.00572413,2973116.08834015,40365.3771798702
12,464548.668528225,2404936.82705631,2869485.49558454,36038.2087461881
13,419049.580386995,2334836.48808475,2753886.06847175,32174.9127685968
14,377061.044922765,2253283.5871614,2630344.63208417,28725.7621198032
15,338634.897749738,2163354.54367673,2501989.44142647,25646.3604205603
16,303675.52898273,2067843.53449433,2371519.06347706,22897.0705834762
17,272021.856611735,1968875.08560151,2240896.94221325,20442.5046169276
18,243458.217902775,1868130.9502556,2111589.16815837,18251.0681219929
19,217750.396297746,1767081.87336792,1984832.26966567,16294.5536193153
20,194660.541980958,1666891.35946677,1861551.90144772,14547.7774713247
21,173955.971568519,1568435.65437709,1742391.62594561,12988.2557263987
22,155407.003601172,1472459.5514454,1627866.55504657,11595.9147125288
23,138803.340296828,1379491.21058633,1518294.55088315,10352.8326553457
24,123951.994668964,1289985.34022859,1413937.33489755,9243.00899469261
25,110675.702419724,1204214.74211638,1314890.4445361,8252.15843046157
26,98811.78134003,1122361.08494361,1221172.86628364,7367.52704671609
27,88214.0388905941,1044535.09095527,1132749.12984587,6577.72814730812
28,78749.337419897,970798.071736369,1049547.40915627,5872.59568991669
