"model_time","cost_drugs","cost_healthcare","cost_total","count_drug_dosis_dia"
1,11982724.9241787,13419244.1351922,25401969.0593709,113127.99882902
2,10720701.202954,1071707.39732836,11792408.6002823,101000.677354549
3,9608161.79870616,1445579.14306043,11053740.9417666,90173.4047421414
4,8622601.38278912,1730757.51359617,10353358.8963853,80506.8157537839
5,7746098.24911759,1940938.79212618,9687037.04124377,71876.4851049782
6,682821.576067702,2088584.75883829,2771406.334906,64171.3259017246
7,646846.962892387,2183851.96152085,2830698.92441324,57292.1597650597
8,603127.7465691,2235653.10951218,2838780.85608128,51150.4402382453
9,556017.166670628,2252518.8630325,2808536.02970313,45667.1130447054
10,508379.180319389,2241740.86605885,2750120.04637824,40771.598526313
11,462019.464609466,2208758.39957541,2670777.86418488,36400.8831642922
12,417996.98719276,2158362.27352058,2576359.26071334,32498.7084890801
13,376906.656262878,2094469.54458478,2471376.20084766,29014.8469390507
14,339017.740257504,2020417.21160165,2359434.95185916,25904.4553471845
15,304368.446411238,1938941.39954269,2243309.84595393,23127.4977339663
16,272862.285948734,1852607.83871841,2125470.12466714,20648.2299768851
17,244351.064261238,1763303.53579556,2007654.60005679,18434.739723363
18,218635.316482309,1672498.33141812,1891133.64790043,16458.5356250185
19,195500.650573349,1581513.8326123,1777014.48318565,14694.1806060165
20,174730.67734164,1491386.59274764,1666117.27008928,13118.9644450516
21,156114.412380966,1402878.72457065,1558993.13695161,11712.611456542
22,139441.407399503,1316658.69648461,1456100.10388411,10457.0195084007
23,124520.912736012,1233184.7736681,1357705.68640411,9336.02701710017
24,111178.642406621,1152873.0621408,1264051.70454742,8335.20492086704
25,99254.5602754754,1075955.21744622,1175209.77772169,7441.67095335009
26,88601.5176891945,1002584.14654786,1091185.66423706,6643.92382715096
27,79087.8055003586,932853.043613848,1011940.84911421,5931.69519288038
28,70593.1711740548,866816.892086065,937410.063260119,5295.8174682036
