"model_time","cost_drugs","cost_healthcare","cost_total","count_drug_dosis_dia"
1,879.01000607316,65599.3243734056,66478.3343794788,0
2,1205.89594431476,36590.5883569691,37796.4843012838,0
3,1423.76627744766,32401.626484067,33825.3927615147,0
4,1550.30018960574,28143.3633761587,29693.6635657644,0
5,1602.63317905129,24030.3123000441,25632.9454790954,0
6,1596.99911559748,20211.633804121,21808.6329197184,0
7,1274.22356990455,16852.4149200746,18126.6384899792,0
8,993.202605274525,14007.5363099409,15000.7389152154,0
9,757.466772551792,11678.9349429589,12436.4017155107,0
10,565.388777771574,9772.25471381227,10337.6434915838,0
11,414.03822602037,8262.36267603061,8676.40090205098,0
12,298.535116049999,7058.3028728938,7356.8379889438,0
13,212.868418173849,6097.32431749533,6310.19273566918,0
14,150.946330370885,5324.59164805401,5475.5379784249,0
15,107.008590188047,4689.61924379808,4796.62783398613,0
16,76.4658340689385,4155.05854110644,4231.52437517538,0
17,55.3740789354508,3699.42439445429,3754.79847338974,0
18,40.8719252544944,3305.00076423219,3345.87268948669,0
19,30.8382653302671,2959.72679655068,2990.56506188095,0
20,23.7593516526549,2654.1689181771,2677.92826982975,0
21,18.6506220427714,2382.46257739743,2401.1131994402,0
22,14.8808431924458,2139.73030074659,2154.61114393904,0
23,12.0216299717319,1922.53583585882,1934.55746583055,0
24,9.80033983360572,1727.88740770928,1737.68774754289,0
25,8.03773937509125,1553.25302839992,1561.29076777501,0
26,6.61967488306666,1396.41813496562,1403.03780984869,0
27,5.46740260397477,1255.61689508063,1261.0842976846,0
28,4.52577905502835,1129.1419183828,1133.66769743782,0
