"model_time","cost_drugs","cost_healthcare","cost_total","count_drug_dosis_dia"
1,163954.626256796,552878.137424167,716832.763680962,1513.99998048
2,157511.353041845,280610.090286809,438121.443328655,1351.69918257254
3,148652.595517831,258066.860681917,406719.456199749,1206.79703020077
4,138536.428268654,236699.367975218,375235.796243872,1077.42838856325
5,127940.039924739,216739.311078015,344679.351002754,961.928065309265
6,33304.5672336764,198232.366937395,231536.934171072,858.809376708112
7,25123.8880406731,181191.952689927,206315.8407306,766.745011525003
8,19203.7997623645,165564.601079692,184768.400842057,684.549946289522
9,14898.6866108553,151267.498621139,166166.185231995,611.166192047286
10,11743.7373613365,138169.43704392,149913.174405257,545.649176259817
11,9408.54629518478,126189.541981043,135598.088276228,487.155584564764
12,7660.08951832996,115225.933515191,122886.023033521,434.932505899422
13,6331.8393585095,105191.175055023,111523.014413533,388.307741267004
14,5306.30051955062,96011.6124676049,101317.912987156,346.681151403181
15,4500.45300640102,87612.6293379134,92113.0823443145,309.51693197276
16,3856.49666299332,79922.5059974984,83779.0026604917,276.33671686528
17,3332.55665877352,72885.5502113899,76218.1068701634,246.709947918581
18,2899.68668403957,66450.0191122648,69349.7057963044,220.259540941359
19,2537.02174934193,60567.6114349729,63104.6331843149,196.644950011132
20,2229.36936716132,55190.9520718662,57420.3214390275,175.562140008163
21,1965.67055821107,50278.5087139778,52244.1792721889,156.739672198554
22,1737.88750575828,45790.9647279734,47528.8522337317,139.935209492022
23,1539.72003547305,41693.2555469278,43232.9755824009,124.932396379969
24,1366.35988043192,37952.9051694035,39319.2650498355,111.538073383394
25,1213.98940255358,34539.7781304169,35753.7675329705,99.5797901470017
26,1079.62145016266,31425.8359654105,32505.4574155731,88.9035851608786
27,960.791650368678,28586.2682023279,29547.0598526965,79.3720035239055
28,855.52289568331,25997.8128515244,26853.3357472078,70.8623272278462
