"model_time","cost_drugs","cost_healthcare","cost_total","count_drug_dosis_dia"
1,241.036104977,5669.577243999,5910.613348976,0
2,253.671818164344,3873.42022287628,4127.09204104063,0
3,289.383975530895,4689.62269442668,4979.00666995758,0
4,334.413195808883,5195.75077650169,5530.16397231057,0
5,379.739426757048,5449.70862088033,5829.44804763738,0
6,420.078567887219,5527.51665849815,5947.59522638537,0
7,429.590276441096,5477.45729912677,5907.04757556786,0
8,417.216831033848,5329.9378230066,5747.15465404045,0
9,391.3201744553,5113.7050519501,5505.0252264054,0
10,357.928613337416,4856.29172869449,5214.22034203191,0
11,321.282160097009,4563.50735399111,4884.78951408811,0
12,284.028836857452,4259.94884023532,4543.97767709277,0
13,247.993898724619,3956.00289388546,4203.99679261007,0
14,214.361939932806,3657.8976480081,3872.25958794091,0
15,183.773143929788,3369.99156808931,3553.7647120191,0
16,156.42787094911,3095.21176775262,3251.63963870173,0
17,132.478117836856,2835.39778719931,2967.87590503617,0
18,111.701724362993,2591.57052530193,2703.27224966492,0
19,93.8202658940606,2364.14197857936,2457.96224447342,0
20,78.5324966967872,2153.07822473594,2231.61072143272,0
21,65.5362144893054,1958.02552813751,2023.56174262681,0
22,54.5419396173363,1778.40740646288,1832.94934608022,0
23,45.2808860811889,1613.49887573757,1658.77976181876,0
24,37.5090210506506,1462.48280047392,1499.99182152457,0
25,31.0085058338376,1324.49224930302,1355.50075513686,0
26,25.5874401381817,1198.64194055987,1224.22938069806,0
27,21.0751762927686,1083.83901176399,1104.91418805676,0
28,17.3238727350726,979.299017747026,996.622890482098,0
