"model_time","cost_drugs","cost_items","cost_total","count_drugs"
1,228557422.081,280266459.492,508823881.573,2155018.001
2,161163026.468,27853696.356,189016722.824,1469722.277
3,109348350.163,20671211.146,130019561.309,1002350.593
4,74482162.515,15319610.202,89801772.717,683603.104
5,50777802.267,11208891.524,61986693.791,466217.317
6,3501994.661,8099010.225,11601004.886,317960.21
7,2386016.464,5791694.72,8177711.184,216848.863
8,1626143.105,4107036.649,5733179.754,147890.925
9,1108323.454,2892895.921,4001219.374,100861.611
10,755497.584,2026656.698,2782154.281,68787.619
11,515020.548,1413466.526,1928487.074,46913.156
12,351092.408,982164.067,1333256.475,31994.772
13,239341.811,680402.834,919744.645,21820.43
14,163167.514,470171.349,633338.863,14881.53
15,111238.866,324219.056,435457.922,10149.201
16,75839.073,223183.287,299022.36,6921.754
17,51705.642,153405.225,205110.867,4720.634
18,35252.059,105313.881,140565.94,3219.471
19,24035.259,72225.754,96261.013,2195.678
20,16388.193,49489.525,65877.719,1497.452
21,11173.996,33885.559,45059.555,1021.262
22,7619.045,23186.805,30805.85,696.5
23,5195.066,15857.403,21052.47,475.013
24,3542.312,10840.142,14382.453,323.959
25,2415.449,7407.5,9822.949,220.94
26,1647.051,5060.118,6707.169,150.681
27,1123.091,3455.658,4578.749,102.764
28,765.83,2359.436,3125.266,70.085
