"model_time","cost_drugs","cost_healthcare","cost_total","count_drug_dosis_dia"
1,1348398.14064957,1631286.56530564,2979684.70595521,12719.00013446
2,1209917.91955999,206628.340494187,1416546.26005418,11355.5233200459
3,1086704.17098612,236182.723690975,1322886.8946771,10138.211220137
4,976659.013664476,255496.261461224,1232155.2751257,9051.39497733829
5,878127.448046377,267236.347681753,1145363.79572813,8081.08543576763
6,83543.2825211653,272963.105694059,356506.388215224,7214.79307705334
7,76518.8791834573,274138.584068128,350657.463251586,6441.36725919322
8,69450.8785690041,271897.91140331,341348.789972314,5750.85268900771
9,62667.1121525878,266937.469521298,329604.581673886,5134.36128074608
10,56323.0450729747,259737.202343663,316060.247416638,4583.9577514501
11,50476.550838268,250966.599717053,301443.150555321,4092.55748049465
12,45151.4344361542,241100.639187329,286252.073623483,3653.83531858562
13,40333.1888807989,230440.555390517,270773.744271316,3262.14417243325
14,35990.9577341521,219347.007875909,255337.965610061,2912.4423171484
15,32094.0004627454,208020.998990776,240114.999453521,2600.22850075009
16,28608.8172768674,196574.558445332,225183.375722199,2321.48400546968
17,25493.8383375795,185184.735745076,210678.574082655,2072.62092008333
18,22712.8477695391,174025.067489319,196737.915258858,1850.4359574504
19,20235.1009927736,163200.888328586,183435.98932136,1652.06922281172
20,18028.1600812178,152731.415077865,170759.575159083,1474.9674021263
21,16062.5567888689,142653.134909182,158715.691698051,1316.85089661836
22,14313.0544978212,132966.952091752,147280.006589573,1175.68448050087
23,12754.8732315699,123731.590757803,136486.463989373,1049.65110419118
24,11366.6693765554,114987.495889618,126354.165266173,937.128505821886
25,10129.6249161508,106726.880178352,116856.505094503,836.66832999778
26,9027.68639702901,98933.6009080184,107961.287305047,746.977485022018
27,8046.13205326394,91604.9813543332,99651.1134075971,666.901498627657
28,7173.0710969401,84730.4612714582,91903.5323683983,595.409657974772
