"model_time","cost_drugs","cost_healthcare","cost_total","count_drug_dosis_dia"
1,2549.12902365336,60677.2270512615,63226.3560749149,0
2,2493.54812723954,31752.7162500621,34246.2643773016,0
3,2519.12390303454,36552.6681671595,39071.7920701941,0
4,2586.62964142503,39500.3839269475,42087.0135683726,0
5,2665.16652242764,40760.9443308249,43426.1108532525,0
6,2739.02599306716,40975.5847999424,43714.6107930096,0
7,2671.67514607212,40422.7628388852,43094.4379849573,0
8,2546.10781022978,39214.7498537414,41760.8576639711,0
9,2382.22092024538,37533.6161985212,39915.8371187666,0
10,2196.8340443313,35610.4643963802,37807.2984407115,0
11,2000.69788514579,33344.8710995187,35345.5689846645,0
12,1803.30895850625,31047.1484149866,32850.4573734929,0
13,1610.92159671074,28780.5566239399,30391.4782206506,0
14,1428.43331241154,26579.9478570505,28008.3811694621,0
15,1258.89808273956,24469.4481361786,25728.3462189182,0
16,1103.39760175083,22464.9085406517,23568.3061424025,0
17,963.765298521217,20575.8492006326,21539.6144991538,0
18,839.219106792114,18806.9965854345,19646.2156922266,0
19,728.761436570337,17159.4950734521,17888.2565100224,0
20,631.279419554021,15631.8580446662,16263.1374642202,0
21,545.616466930702,14220.7110145576,14766.3274814883,0
22,470.622154834135,12921.3690530481,13391.9912078822,0
23,405.185866470157,11728.2824366386,12133.4683031088,0
24,348.258375962741,10635.3777879105,10983.6361638732,0
25,298.864585699105,9636.31655764247,9935.18114334157,0
26,256.109869404104,8724.68835290474,8980.79822230884,0
27,219.071976683229,7887.2593120085,8106.33128869173,0
28,186.989064405322,7120.54934087264,7307.53840527796,0
