"model_time","cost_drugs","cost_healthcare","cost_total","count_drug_dosis_dia"
1,1324532.29116027,1579324.18980519,2903856.48096546,12496.0000032
2,1187833.40005731,186790.145288395,1374623.54534571,11156.428802857
3,1066436.43804542,218453.81751443,1284890.25555986,9960.45963519069
4,958192.627714843,239988.801811792,1198181.42952663,8892.69836229825
5,861400.330888235,253795.969367665,1115196.3002559,7939.40109785988
6,80842.7991817305,261397.681861002,342240.481042733,7088.2973001693
7,74509.6665364003,264226.857847932,338736.524384332,6328.43182959115
8,67963.7409710271,263418.752148299,331382.493119326,5650.02393745898
9,61562.2150830574,259703.22604903,321265.441132088,5044.34137136338
10,55494.9130609369,253596.063052301,309090.976113238,4503.58797635322
11,49849.2068683755,245772.063190832,295621.270059207,4020.80334528816
12,44669.4502755534,236720.71234579,281390.162621344,3589.77322667327
13,39957.240592484,226763.567877773,266720.808470257,3204.94953677389
14,35693.4003277317,216270.927849031,251964.328176763,2861.37894643173
15,31854.861423582,205459.147744069,237314.009167651,2554.63912337425
16,28413.4234005975,194455.679237675,222869.102638273,2280.78180934853
17,25331.8508228455,183445.034939986,208776.885762832,2036.28199938637
18,22576.7886475433,172606.501868515,195183.290516058,1817.99256905215
19,20119.3388850794,162052.887819318,182172.226704398,1623.10376564976
20,17928.6131153048,151812.670259801,169741.283375106,1449.10704197211
21,15976.2051122704,141928.486303361,157904.691415631,1293.7627670727
22,14237.5528481655,132407.15639388,146644.709242046,1155.0713984425
23,12688.4677116879,123309.936378464,135998.404090152,1031.24774452947
24,11308.0128433356,114680.214230278,125988.227073614,920.697986315908
25,10077.6583359967,106514.21110728,116591.869443277,821.999162182843
26,8981.52283455519,98799.1424359209,107780.665270476,733.880851996842
27,8005.0332342112,91534.5903994388,99539.62363365,655.208824662781
28,7136.37397008022,84712.1027480035,91848.4767180838,584.970438658931
