"model_time","cost_drugs","cost_items","cost_total","count_deaths"
1,11477409.9282052,12769290.3506825,24246700.2788877,0
2,7909912.12684845,811663.216712036,8721575.34356049,0
3,5464187.78007611,752824.377250083,6217012.1573262,0
4,3739526.33129459,610006.216983028,4349532.54827762,0
5,2554773.23928407,475838.579787522,3030611.81907159,0
6,170258.681826906,363856.462196135,534115.144023041,0
7,116409.224064701,274333.081135983,390742.305200684,0
8,79579.7165908393,204565.303234975,284145.019825815,0
9,54399.5972564682,151175.833432662,205575.43068913,0
10,37185.6420653137,110888.096682725,148073.738748039,0
11,25418.0912040071,80824.292617548,106242.383821555,0
12,17373.975315169,58593.2703527592,75967.2456679282,0
13,11875.2955175427,42278.3471316692,54153.6426492118,0
14,8116.68896490129,30381.4990202197,38498.187985121,0
15,5547.57154477115,21753.6750348282,27301.2465795994,0
16,3791.54939537531,15526.1742400677,19317.723635443,0
17,2591.31723784632,11049.7645506033,13641.0817884496,0
18,1770.98451179413,7843.76342239906,9614.7479341932,0
19,1210.3180278426,5555.03742977164,6765.35545761425,0
20,827.132416270239,3925.85225835638,4752.98467462661,0
21,565.251358947023,2769.15088203413,3334.40224098115,0
22,386.277533836523,1949.82706580753,2336.10459964405,0
23,263.966471794583,1370.70801844626,1634.67449024085,0
24,180.380581784994,962.16279160284,1142.54337338783,0
25,123.260154207929,674.459883739448,797.720037947377,0
26,84.2263036821089,472.184355249177,556.410658931286,0
27,57.5526184447002,330.182741222663,387.735359667363,0
28,39.3255618733651,230.632182793838,269.957744667203,201.271853326735
