"model_time","cost_drugs","cost_items","cost_total","count_deaths"
1,10909185.163142,12075235.3610929,22984420.524235,0
2,7508917.53657074,748979.569620342,8257897.10619108,0
3,5192906.60588713,707778.910195194,5900685.51608232,0
4,3554850.31520229,576350.839520075,4131201.15472236,0
5,2428766.6884945,450599.484754509,2879366.17324901,0
6,162097.999307058,345055.863252619,507153.862559677,0
7,110834.254935451,260440.788624784,371275.043560235,0
8,75769.7335979634,194374.517023797,270144.25062176,0
9,51795.6449077772,143747.24305281,195542.887960587,0
10,35405.9629620153,105502.282893573,140908.245855588,0
11,24201.7864453753,76937.8142390627,101139.600684438,0
12,16542.7210275214,55800.2248698507,72342.9458973721,0
13,11307.2068805031,40278.3540198873,51585.5609003904,0
14,7728.45887830415,28953.9717324586,36682.4306107628,0
15,5282.26169426826,20737.672988143,26019.9346824112,0
16,3610.24477006037,14804.9247791444,18415.1695492047,0
17,2467.42162332258,10538.9472236965,13006.3688470191,0
18,1686.32129998194,7482.74563392546,9169.0669339074,0
19,1152.46507781656,5300.38026711985,6452.84534493641,0
20,787.600447408255,3746.53636878434,4534.1368161926,0
21,538.238923436023,2643.09011093219,3181.32903436821,0
22,367.820088257253,1861.33691547889,2229.15700373614,0
23,251.354813592645,1308.67641394501,1560.03122753765,0
24,171.763390938086,918.733950656904,1090.49734159499,0
25,117.372363932945,644.090912335854,761.463276268799,0
26,80.2034686276179,450.971258433656,531.174727061274,0
27,54.8040562962098,315.380335600343,370.184391896553,0
28,37.4476617001567,220.313034829944,257.760696530101,174.644158858629
