"model_time","cost_drugs","cost_items","cost_total","count_deaths"
1,13515038.540702,15243062.8679223,28758101.4086242,0
2,9345663.30781469,1036652.6102242,10382315.9180389,0
3,6438423.2290561,924572.716501129,7362995.94555723,0
4,4404410.79456345,743149.128874292,5147559.92343774,0
5,3008824.54416901,577602.082410514,3586426.62657952,0
6,201081.857986428,440582.127789388,641663.985775816,0
7,137482.968205102,331545.7868885,469028.755093602,0
8,93986.5803704987,246845.359718953,340831.940089451,0
9,64248.2602620708,182187.849789308,246436.110051378,0
10,43918.0570562101,133491.797951957,177409.855008167,0
11,30020.148587498,97210.5156285092,127230.664216007,0
12,20519.7050174521,70416.6985256794,90936.4035431315,0
13,14025.4981293535,50774.6424717854,64800.1406011389,0
14,9586.38082243143,36464.9302298765,46051.3110523079,0
15,6552.10036488322,26095.5415533429,32647.6419182261,0
16,4478.12442213938,18616.1956904561,23094.3201125955,0
17,3060.56624395709,13243.2247830281,16303.7910269852,0
18,2091.6917339526,9397.1851621859,11488.8768961385,0
19,1429.49977951275,6652.86393799975,8082.3637175125,0
20,976.925088794555,4700.2141668864,5677.13925568096,0
21,667.620134569553,3314.39533679221,3982.01547136176,0
22,456.23522164941,2333.12642572906,2789.36164737847,0
23,311.773815296457,1639.76225411006,1951.53606940651,0
24,213.050287773763,1150.76452212397,1363.81480989773,0
25,145.584950533329,806.498067934085,952.083018467414,0
26,99.4816355761314,564.513928958284,663.995564534415,0
27,67.9769423277125,394.674613367321,462.651555695033,0
28,46.4486187538811,275.633375470063,322.081994223944,227.558842705066
