"model_time","cost_drugs","cost_items","cost_total","count_deaths"
1,11473571.2992289,12853098.4407571,24326669.7399859,0
2,7920640.98753366,843872.624965342,8764513.612499,0
3,5463578.33033425,765131.76234932,6228710.09268357,0
4,3737965.66510554,616540.37297567,4354506.03808121,0
5,2553543.55273477,479714.892984025,3033258.4457188,0
6,170038.934928117,366206.933248784,536245.868176901,0
7,116255.07469079,275753.646999751,392008.72169054,0
8,79473.3933826628,205414.213729327,284887.60711199,0
9,54326.5166141388,151675.026097022,206001.542711161,0
10,37135.4520405188,111175.354626444,148310.806666963,0
11,25383.6320304257,80984.7121906879,106368.344221114,0
12,17350.3208777445,58678.9935844084,76029.3144621529,0
13,11859.0605273017,42321.0058864992,54180.0664138009,0
14,8105.5478902375,30400.0450515721,38505.5929418096,0
15,5539.92719997494,21759.2844606779,27299.2116606529,0
16,3786.30502086469,15525.3021079199,19311.6071287846,0
17,2587.71983267403,11046.0344156978,13633.7542483719,0
18,1768.51717107069,7839.12684819867,9607.64401926937,0
19,1208.62597148,5550.47856610757,6759.10453758757,0
20,825.972175320729,3921.81084560798,4747.78302092871,0
21,564.455875971078,2765.77235982505,3330.22823579613,0
22,385.732197379041,1947.10753657462,2332.83973395366,0
23,263.5926620123,1368.57602259865,1632.16868461095,0
24,180.124374918722,960.52367370266,1140.64804862138,0
25,123.084569669972,673.218439622233,796.303009292205,0
26,84.1059834800615,471.255198395103,555.361181875164,0
27,57.470176364687,329.49398307192,386.964159436607,0
28,39.2690787492026,230.12568057666,269.394759325862,216.149770191208
